term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
formal,0.6626,1.0,447,True,process_results__process_oriented,,,
the hierarchy,0.6457,0.5,80,False,,,,
structured,0.6393,1.0,1119,True,process_results__process_oriented,,,
controlled,0.6366,0.5,117,False,tight_loose__loose_control; pragmatic_normative__normative,,,
management and,0.6341,0.5,2249,False,process_results__process_oriented; process_results__results_oriented; professional_parochial__professional; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__performance,,,
organized and,0.6329,0.5,93,False,process_results__process_oriented,,,
authority,0.6322,0.5,108,False,open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__normative,,,
control,0.6313,1.0,859,True,tight_loose__loose_control; pragmatic_normative__normative,,,
policies,0.63,1.0,2243,True,process_results__process_oriented,,,
organization and,0.626,0.5,224,False,process_results__process_oriented; tight_loose__loose_control; mit__collaboration,,,
structured and,0.6254,0.5,141,False,process_results__process_oriented,,,
management,0.6232,0.5,38993,False,process_results__process_oriented; process_results__results_oriented; tight_loose__loose_control; mit__execution; mit__performance,,,
enforced,0.6226,0.5,56,False,process_results__process_oriented; open_closed__closed_system,,,
policy,0.6203,0.5,2376,False,process_results__process_oriented,,,
compliance and,0.6184,0.5,87,False,process_results__process_oriented; pragmatic_normative__normative,,,
organizational,0.617,0.5,498,False,process_results__process_oriented; job_employee__employee_oriented; professional_parochial__parochial; tight_loose__loose_control; mit__collaboration; mit__performance,,,
oversight,0.6139,1.0,203,True,process_results__process_oriented,,,
policies and,0.6136,0.5,263,False,process_results__process_oriented,,,
compliance,0.6124,0.5,1102,False,process_results__process_oriented; pragmatic_normative__normative; mit__integrity,,,
bureaucracy and,0.612,0.5,326,False,process_results__process_oriented; tight_loose__loose_control; pragmatic_normative__normative; mit__execution,,,
organized,0.6101,0.5,701,False,mit__collaboration,,,
hierarchy and,0.6099,0.5,125,False,,,,
your management,0.603,0.5,57,False,process_results__process_oriented; process_results__results_oriented; tight_loose__loose_control; mit__execution,,,
hierarchical and,0.6028,0.5,95,False,,,,
very structured,0.6024,0.5,198,False,process_results__process_oriented,,,
decisions and,0.602,0.5,134,False,process_results__process_oriented; process_results__results_oriented; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__execution; mit__integrity,,,
approval,0.602,0.5,274,False,process_results__process_oriented; mit__execution,,,
hierarchy,0.6011,1.0,1399,True,,,,
bureaucracy,0.6009,1.0,2306,True,process_results__process_oriented; tight_loose__loose_control; mit__execution,,,
the management,0.6004,0.5,1258,False,tight_loose__loose_control,,,
approvals,0.6002,1.0,184,True,process_results__process_oriented; mit__execution,,,
policy and,0.5991,0.5,192,False,process_results__process_oriented,,,
and structured,0.5991,0.5,55,False,process_results__process_oriented,,,
managing,0.5984,0.5,1023,False,tight_loose__loose_control,,,
guidance and,0.5975,0.5,71,False,process_results__process_oriented,,,
standards and,0.5966,0.5,94,False,process_results__process_oriented; pragmatic_normative__normative; mit__performance,,,
strict and,0.5961,0.5,56,False,open_closed__closed_system,,,
organisation,0.5954,0.5,1772,False,professional_parochial__parochial; tight_loose__loose_control; mit__collaboration,,,
organization,0.5944,0.5,4767,False,tight_loose__loose_control; mit__collaboration,,,
bureaucratic and,0.5921,0.5,278,False,process_results__process_oriented; tight_loose__loose_control,,,
leadership and,0.5918,0.5,510,False,process_results__results_oriented; tight_loose__loose_control; pragmatic_normative__normative; mit__collaboration; mit__execution; mit__performance,,,
managements,0.5912,0.5,106,False,process_results__process_oriented,,,
actions,0.5911,0.5,285,False,process_results__process_oriented; process_results__results_oriented; pragmatic_normative__normative; mit__execution,,,
structure,0.591,0.5,4163,False,,,,
well structured,0.5899,0.5,188,False,mit__performance,,,
standards,0.5892,0.5,1359,False,pragmatic_normative__normative; mit__performance,,,
administration,0.5889,0.5,162,False,tight_loose__loose_control,,,
organisational,0.5887,0.5,104,False,tight_loose__loose_control,,,
regulations,0.5884,0.5,269,False,process_results__process_oriented,,,
leadership,0.5884,0.5,6819,False,process_results__results_oriented; tight_loose__loose_control; mit__collaboration; mit__execution; mit__performance,,,
the structure,0.5876,0.5,91,False,,,,
handling,0.5876,0.5,201,False,process_results__process_oriented; pragmatic_normative__normative; mit__execution; mit__respect,,,
control over,0.5869,0.5,86,False,,,,
supervision,0.5863,0.5,83,False,process_results__process_oriented,,,
some management,0.5862,0.5,109,False,tight_loose__loose_control,,,
guidance,0.5858,0.5,717,False,process_results__process_oriented,,,
strict,0.5856,1.0,977,True,open_closed__closed_system; mit__integrity,,,
the policies,0.5855,0.5,70,False,process_results__process_oriented,,,
much hierarchy,0.5854,0.5,51,False,,,,
management with,0.5852,0.5,190,False,tight_loose__loose_control,,,
manage and,0.5851,0.5,65,False,tight_loose__loose_control,,,
organization with,0.5849,0.5,267,False,tight_loose__loose_control; mit__collaboration,,,
hierarchical,0.5839,1.0,858,True,,,,
implemented,0.5835,0.5,229,False,process_results__process_oriented; pragmatic_normative__normative,,,
government,0.5831,0.5,166,False,tight_loose__loose_control,,,
management they,0.5829,0.5,196,False,tight_loose__loose_control,,,
bureaucratic,0.582,0.5,2006,False,process_results__process_oriented; professional_parochial__professional; tight_loose__loose_control,,,
rules and,0.5818,0.5,101,False,process_results__process_oriented; open_closed__closed_system,,,
governance,0.5803,0.5,156,False,tight_loose__loose_control; pragmatic_normative__normative,,,
controlling,0.5802,0.5,68,False,tight_loose__loose_control,,,
manage the,0.5799,0.5,74,False,tight_loose__loose_control,,,
regulation,0.5797,0.5,124,False,,,,
management that,0.5796,0.5,268,False,tight_loose__loose_control,,,
design,0.5777,0.5,306,False,process_results__process_oriented; open_closed__open_system; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__diversity; mit__innovation,,,
regulated,0.5776,0.5,204,False,,,,
practices,0.5772,0.5,793,False,process_results__process_oriented; pragmatic_normative__normative,,,
behaviours,0.5772,0.5,50,False,process_results__process_oriented; pragmatic_normative__normative,,,
decisions,0.5771,0.5,1797,False,process_results__process_oriented; process_results__results_oriented; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__integrity,,,
centralized,0.577,0.5,91,False,mit__collaboration,,,
management structure,0.5766,0.5,204,False,,,,
organised,0.5762,0.5,224,False,tight_loose__loose_control,,,
organisation and,0.5754,0.5,72,False,tight_loose__loose_control,,,
very hierarchical,0.5754,0.5,210,False,,,,
the operations,0.5737,0.5,132,False,process_results__process_oriented; process_results__results_oriented; mit__execution,,,
management some,0.5727,0.5,119,False,,,,
very organized,0.5724,0.5,98,False,,,,
the rules,0.5723,0.5,63,False,process_results__process_oriented; open_closed__closed_system; mit__integrity,,,
organization you,0.5719,0.5,74,False,tight_loose__loose_control; mit__collaboration,,,
practices and,0.5712,0.5,69,False,process_results__process_oriented; pragmatic_normative__normative,,,
managerial,0.5709,0.5,257,False,tight_loose__loose_control,,,
management this,0.5704,0.5,83,False,,,,
very formal,0.5698,0.5,53,False,,,,
how manage,0.5692,0.5,107,False,tight_loose__loose_control,,,
manage,0.5682,0.5,1358,False,tight_loose__loose_control,,,
management for,0.567,0.5,151,False,,,,
coordination,0.5667,0.5,113,False,process_results__process_oriented; tight_loose__loose_control; mit__collaboration,,,
organization very,0.5665,0.5,77,False,,,,
discipline,0.5663,0.5,104,False,,,,
structure that,0.5657,0.5,51,False,,,,
administrative,0.5657,0.5,521,False,,,,
manages,0.5655,0.5,77,False,tight_loose__loose_control,,,
supervisors and,0.5645,0.5,61,False,,,,
management all,0.5643,0.5,121,False,,,,
mandate,0.5641,0.5,66,False,,,,
advisory,0.564,0.5,165,False,process_results__process_oriented,,,
rules,0.5634,1.0,614,True,process_results__process_oriented; open_closed__closed_system,,,
principles,0.5634,0.5,135,False,process_results__process_oriented; pragmatic_normative__normative,,,
leadership with,0.5632,0.5,50,False,tight_loose__loose_control; mit__collaboration; mit__execution; mit__performance,,,
organisation with,0.5628,0.5,108,False,mit__collaboration,,,
good structure,0.5627,0.5,83,False,,,,
laws,0.5626,0.5,53,False,pragmatic_normative__normative,,,
guidelines,0.5621,0.5,145,False,process_results__process_oriented,,,
premises,0.562,0.5,68,False,,,,
management very,0.5619,0.5,681,False,,,,
behaviour,0.5619,0.5,171,False,process_results__process_oriented; tight_loose__loose_control; pragmatic_normative__normative; mit__integrity,,,
with management,0.5616,0.5,412,False,process_results__process_oriented; process_results__results_oriented; tight_loose__loose_control; mit__execution,,,
