term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
employee friendly,0.7473,0.75,1613,False,,,,
employee care,0.7431,0.75,51,False,mit__customer_orientation,,,
employee focused,0.7323,0.75,72,False,job_employee__job_oriented,,,
employee satisfaction,0.7277,1.0,118,True,,,,
employee development,0.7221,1.0,175,True,,,,
workplace,0.7192,0.75,2553,False,job_employee__job_oriented; open_closed__closed_system; mit__collaboration,,,
employee well,0.7166,0.75,91,False,,,,
about employees,0.714,0.75,418,False,,,,
the workplace,0.7064,0.75,260,False,job_employee__job_oriented; open_closed__closed_system; tight_loose__loose_control; mit__collaboration,,,
working life,0.7059,0.75,63,False,job_employee__job_oriented,,,
employee work,0.705,0.75,52,False,job_employee__job_oriented,,,
employee,0.6997,0.5,10329,False,,,,
employee good,0.6985,0.5,55,False,,,,
employees well,0.6941,0.5,214,False,mit__performance,,,
working people,0.6931,0.5,245,False,job_employee__job_oriented; professional_parochial__professional,,,
working employees,0.693,0.5,76,False,,,,
employees feel,0.6902,0.5,94,False,,,,
about employee,0.6881,0.5,104,False,,,,
employee needs,0.6864,0.5,56,False,,,,
employee oriented,0.6841,0.5,123,False,,,,
employees,0.6833,0.5,19966,False,,,,
employees very,0.6829,0.5,235,False,,,,
employment,0.6828,0.5,916,False,job_employee__job_oriented; tight_loose__loose_control; mit__execution,,,
worklife,0.6816,0.5,561,False,job_employee__job_oriented,,,
job satisfaction,0.6816,0.5,140,False,,,,
good workplace,0.6748,0.5,266,False,,,,
work being,0.6743,0.5,108,False,job_employee__job_oriented,,,
workplace for,0.6734,0.5,54,False,job_employee__job_oriented,,,
employee appreciation,0.6712,0.5,110,False,,,,
employees management,0.6706,0.5,66,False,,,,
employee morale,0.6703,0.5,120,False,,,,
workplace good,0.6669,0.5,57,False,,,,
employees good,0.6638,0.5,402,False,,,,
workplace and,0.6633,0.5,98,False,job_employee__job_oriented; tight_loose__tight_control; mit__collaboration,,,
work life,0.6612,0.5,33507,False,job_employee__job_oriented,,,
friendly employees,0.6584,0.5,113,False,,,,
employee you,0.6584,0.5,94,False,,,,
workplace with,0.658,0.5,89,False,open_closed__closed_system; mit__collaboration,,,
dedicated employees,0.658,0.5,58,False,,,,
managing people,0.6566,0.5,51,False,tight_loose__tight_control; tight_loose__loose_control,,,
treats employees,0.6558,0.5,81,False,,,,
employee the,0.6555,0.5,85,False,,,,
employees company,0.6555,0.5,76,False,professional_parochial__parochial,,,
employees they,0.6538,0.5,243,False,,,,
employees for,0.6509,0.5,153,False,,,,
very employee,0.6509,0.5,152,False,,,,
employee centric,0.6509,0.5,458,False,,,,
company work,0.6507,0.5,8493,False,job_employee__job_oriented; professional_parochial__parochial,,,
work people,0.6497,0.5,189,False,job_employee__job_oriented,,,
employee support,0.6489,0.5,50,False,,,,
employees the,0.6472,0.5,547,False,,,,
worker,0.6459,0.5,483,False,,,,
employee welfare,0.6459,0.5,69,False,,,,
nice workplace,0.6458,0.5,68,False,,,,
employee with,0.6442,0.5,54,False,,,,
workforce,0.6442,0.5,689,False,job_employee__job_oriented,,,
good employee,0.644,0.5,415,False,,,,
employees great,0.6437,0.5,386,False,,,,
employees you,0.6411,0.5,160,False,,,,
the workforce,0.6408,0.5,105,False,job_employee__job_oriented,,,
employee and,0.6401,0.5,171,False,,,,
the employee,0.6391,0.5,500,False,,,,
employees and,0.6388,0.5,1270,False,,,,
having work,0.6375,0.5,69,False,job_employee__job_oriented,,,
treat employees,0.6355,0.5,112,False,,,,
employee who,0.6353,0.5,53,False,,,,
loyal employees,0.6346,0.5,55,False,professional_parochial__parochial,,,
the employees,0.6333,0.5,1223,False,,,,
work ethic,0.6328,0.5,411,False,job_employee__job_oriented; pragmatic_normative__normative,,,
employer,0.6326,0.5,2623,False,professional_parochial__parochial,,,
work friendly,0.6325,0.5,98,False,job_employee__job_oriented,,,
good employees,0.6323,0.5,175,False,,,,
job work,0.632,0.5,108,False,process_results__results_oriented; job_employee__job_oriented; mit__execution,,,
great workplace,0.6312,0.5,348,False,,,,
the employer,0.6302,0.5,59,False,,,,
organization work,0.6302,0.5,194,False,job_employee__job_oriented; mit__collaboration,,,
work employee,0.6282,0.5,76,False,,,,
work environment,0.628,0.5,7966,False,job_employee__job_oriented,,,
wellbeing,0.627,1.0,224,True,,,,
for employee,0.6267,0.5,235,False,,,,
company employee,0.6262,0.5,63,False,professional_parochial__parochial,,,
supportive work,0.6249,0.5,177,False,job_employee__job_oriented; mit__respect,,,
when working,0.6242,0.5,130,False,job_employee__job_oriented,,,
employee resource,0.6239,0.5,62,False,,,,
their employee,0.6225,0.5,63,False,mit__customer_orientation,,,
employee engagement,0.622,0.5,302,False,,,,
its employees,0.6214,0.5,715,False,mit__customer_orientation,,,
level employees,0.6212,0.5,295,False,,,,
excellent workplace,0.6212,0.5,50,False,,,,
about work,0.6202,0.5,179,False,job_employee__job_oriented,,,
employees like,0.6201,0.5,128,False,,,,
employees who,0.62,0.5,454,False,,,,
nice employees,0.6192,0.5,54,False,,,,
employee benefit,0.6191,0.5,53,False,,,,
values employees,0.6181,0.5,52,False,pragmatic_normative__normative,,,
people development,0.6173,0.5,61,False,,,,
organisation work,0.6168,0.5,127,False,job_employee__job_oriented,,,
productivity,0.6165,0.5,400,False,process_results__results_oriented; job_employee__job_oriented; pragmatic_normative__pragmatic,,,
maintain work,0.6163,0.5,102,False,job_employee__job_oriented,,,
work management,0.6157,0.5,183,False,job_employee__job_oriented,,,
workplace environment,0.6152,0.5,117,False,,,,
work quality,0.6145,0.5,103,False,job_employee__job_oriented; mit__performance,,,
among employees,0.6144,0.5,71,False,,,,
supportive colleagues,0.6143,0.5,194,False,,,,
value employees,0.6134,0.5,85,False,pragmatic_normative__normative,,,
organizational,0.6132,0.5,498,False,process_results__process_oriented; professional_parochial__parochial; tight_loose__tight_control; tight_loose__loose_control; mit__collaboration; mit__performance,,,
talented employees,0.6131,0.5,92,False,professional_parochial__professional; mit__performance,,,
friendly working,0.6116,0.5,185,False,,,,
working environment,0.6114,0.5,3758,False,job_employee__job_oriented,,,
employees with,0.6106,0.5,328,False,,,,
new employees,0.6105,0.5,313,False,,,,
work company,0.6101,0.5,116,False,job_employee__job_oriented; professional_parochial__parochial,,,
employee training,0.6097,0.5,50,False,,,,
work enviornment,0.6096,0.5,52,False,job_employee__job_oriented,,,
employee experience,0.6094,0.5,90,False,,,,
employees when,0.6087,0.5,50,False,,,,
manage people,0.608,0.5,70,False,tight_loose__tight_control; tight_loose__loose_control,,,
working place,0.6079,0.5,115,False,job_employee__job_oriented,,,
people career,0.6076,0.5,62,False,professional_parochial__professional,,,
work job,0.6074,0.5,53,False,job_employee__job_oriented,,,
working work,0.6073,0.5,51,False,job_employee__job_oriented,,,
young employees,0.6071,0.5,64,False,,,,
care employees,0.6068,0.5,174,False,,,,
work related,0.6068,0.5,63,False,job_employee__job_oriented,,,
supportive staff,0.6065,0.5,68,False,,,,
the morale,0.6064,0.5,67,False,pragmatic_normative__normative,,,
who work,0.6063,0.5,370,False,,,,
employees more,0.6058,0.5,67,False,,,,
employees this,0.6053,0.5,66,False,,,,
personal development,0.6047,1.0,307,True,,,,
for employees,0.6046,0.5,1428,False,,,,
employee perks,0.6042,0.5,76,False,,,,
people management,0.6032,0.5,435,False,,,,
employees which,0.6029,0.5,69,False,,,,
help employees,0.6012,0.5,51,False,,,,
employed,0.6006,0.5,306,False,,,,
supportive managers,0.6005,0.5,123,False,,,,
office work,0.5998,0.5,244,False,job_employee__job_oriented,,,
best workplace,0.5996,0.5,77,False,,,,
working culture,0.5991,0.5,947,False,,,,
employer for,0.5989,0.5,51,False,,,,
employee growth,0.5984,1.0,98,True,,,,
employees get,0.5984,0.5,126,False,,,,
worklife balance,0.5982,0.5,501,False,,,,
with employee,0.5973,0.5,90,False,,,,
employees that,0.597,0.5,221,False,,,,
experienced employees,0.5956,0.5,77,False,professional_parochial__professional; mit__customer_orientation,,,
being hired,0.5952,0.5,78,False,,,,
supportive management,0.5942,0.5,373,False,,,,
other employees,0.5942,0.5,162,False,,,,
human resources,0.594,0.5,183,False,,,,
work balance,0.594,0.5,519,False,,,,
morale and,0.5934,0.5,107,False,pragmatic_normative__normative; mit__respect,,,
their employees,0.5934,0.5,1649,False,professional_parochial__parochial,,,
work managers,0.5931,0.5,65,False,,,,
company working,0.5924,0.5,101,False,professional_parochial__parochial,,,
career work,0.5923,0.5,77,False,job_employee__job_oriented; professional_parochial__professional,,,
great employee,0.5921,0.5,205,False,,,,
people managers,0.5916,0.5,125,False,,,,
with employees,0.5905,0.5,244,False,,,,
employ,0.5904,0.5,65,False,,,,
work culture,0.5902,0.5,7558,False,,,,
company people,0.59,0.5,94,False,professional_parochial__parochial; mit__customer_orientation,,,
employees have,0.5897,0.5,310,False,,,,
morale,0.5894,0.5,1237,False,pragmatic_normative__normative; mit__respect,,,
employees some,0.5887,0.5,58,False,,,,
based work,0.5885,0.5,55,False,process_results__results_oriented; job_employee__job_oriented; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__performance,,,
manage work,0.5884,0.5,57,False,job_employee__job_oriented,,,
healthy working,0.5883,0.5,51,False,,,,
management work,0.5881,0.5,342,False,job_employee__job_oriented; tight_loose__tight_control,,,
personal growth,0.5878,0.5,323,False,,,,
work colleagues,0.5878,0.5,66,False,mit__collaboration,,,
stressful work,0.5878,0.5,214,False,job_employee__job_oriented,,,
work style,0.5872,0.5,60,False,job_employee__job_oriented,,,
management people,0.5861,0.5,102,False,,,,
working together,0.5861,0.5,84,False,job_employee__job_oriented; mit__collaboration,,,
current employees,0.5859,0.5,109,False,,,,
job and,0.5858,0.5,780,False,process_results__results_oriented; job_employee__job_oriented; tight_loose__loose_control; mit__execution,,,
working experience,0.5854,0.5,201,False,job_employee__job_oriented; professional_parochial__professional,,,
employees many,0.5854,0.5,53,False,,,,
profession,0.5851,0.5,61,False,professional_parochial__professional; tight_loose__loose_control,,,
not employee,0.5848,0.5,112,False,,,,
management supportive,0.5846,0.5,75,False,,,,
employee not,0.5842,0.5,57,False,,,,
supportive environment,0.5838,0.5,301,False,mit__respect,,,
work career,0.5838,0.5,69,False,job_employee__job_oriented; professional_parochial__professional,,,
great employees,0.5835,0.5,141,False,,,,
employees benefits,0.583,0.5,63,False,,,,
hardworking people,0.5828,0.5,94,False,,,,
between employees,0.5826,0.5,81,False,,,,
focus employee,0.5824,0.5,98,False,job_employee__job_oriented,,,
doing work,0.5823,0.5,57,False,job_employee__job_oriented; mit__execution,,,
company doing,0.5823,0.5,61,False,professional_parochial__parochial; mit__customer_orientation; mit__execution,,,
workplace culture,0.5817,0.5,115,False,,,,
coworkers,0.5817,0.5,2584,False,,,,
make work,0.5816,0.5,101,False,job_employee__job_oriented; mit__execution,,,
level employee,0.5815,0.5,55,False,,,,
benefits employees,0.5807,0.5,64,False,,,,
employees but,0.5798,0.5,134,False,,,,
employees are,0.5796,0.5,1566,False,,,,
