term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
outcome,0.7109,0.75,75,False,mit__execution,,,
outcomes,0.6957,1.0,93,True,mit__execution,,,
achieving,0.6928,0.5,125,False,open_closed__open_system; pragmatic_normative__normative; mit__execution; mit__innovation; mit__performance,,,
success,0.6921,0.5,1086,False,mit__execution; mit__innovation; mit__performance,,,
achieve,0.6834,0.5,494,False,open_closed__open_system; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__agility; mit__execution; mit__innovation; mit__performance,,,
goals and,0.6765,0.5,182,False,,,,
success and,0.6756,0.5,81,False,mit__execution; mit__innovation; mit__performance,,,
goals,0.6729,1.0,1329,True,,,,
results,0.6728,0.5,815,False,mit__execution,,,
the success,0.6667,0.5,54,False,mit__execution; mit__innovation; mit__performance,,,
the goals,0.6648,0.5,53,False,,,,
performance and,0.659,0.5,233,False,pragmatic_normative__pragmatic; mit__agility; mit__execution; mit__performance,,,
the performance,0.655,0.5,99,False,pragmatic_normative__pragmatic; mit__agility; mit__execution; mit__performance,,,
accomplish,0.6537,0.5,130,False,mit__execution,,,
achievement,0.6532,0.5,54,False,mit__execution; mit__innovation; mit__performance,,,
performance the,0.6477,0.5,92,False,pragmatic_normative__pragmatic; mit__agility; mit__execution; mit__performance,,,
achieved,0.6436,0.5,94,False,mit__agility; mit__execution; mit__innovation; mit__performance,,,
strategy and,0.6413,0.5,143,False,tight_loose__loose_control; pragmatic_normative__pragmatic; mit__innovation,,,
decisions and,0.6408,0.5,134,False,process_results__process_oriented; open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__execution; mit__integrity,,,
performance,0.6383,0.5,4040,False,pragmatic_normative__pragmatic; mit__agility; mit__execution; mit__performance,,,
objectives,0.6343,0.5,206,False,pragmatic_normative__normative; mit__performance,,,
for success,0.6341,0.5,155,False,mit__execution,,,
succeed and,0.6298,0.5,108,False,mit__execution,,,
decisions,0.6291,0.5,1797,False,process_results__process_oriented; open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__integrity,,,
progress,0.6268,0.5,1600,False,process_results__process_oriented; mit__agility; mit__execution; mit__innovation,,,
progress and,0.6215,0.5,121,False,process_results__process_oriented; mit__execution; mit__innovation,,,
strategy,0.6205,0.5,1325,False,pragmatic_normative__pragmatic; mit__innovation,,,
evaluation,0.6204,0.5,157,False,process_results__process_oriented; pragmatic_normative__normative; mit__execution; mit__performance,,,
evaluations,0.6186,0.5,64,False,process_results__process_oriented; mit__execution; mit__performance,,,
ambition,0.6175,0.5,201,False,tight_loose__loose_control; mit__execution,,,
goals are,0.6175,0.5,85,False,,,,
goal,0.6162,0.5,455,False,,,,
the result,0.6159,0.5,51,False,,,,
success the,0.6151,0.5,86,False,mit__execution,,,
career goals,0.6082,0.5,70,False,,,,
task,0.6073,0.5,467,False,process_results__process_oriented; job_employee__job_oriented; mit__execution,,,
the decisions,0.6071,0.5,59,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__integrity,,,
the task,0.6051,0.5,51,False,process_results__process_oriented; job_employee__job_oriented; mit__execution; mit__innovation,,,
tasks,0.6047,0.5,1982,False,process_results__process_oriented; job_employee__job_oriented; tight_loose__tight_control; mit__execution,,,
the tasks,0.6034,0.5,93,False,process_results__process_oriented; job_employee__job_oriented; tight_loose__tight_control; mit__execution,,,
decision making,0.6021,0.5,1095,False,process_results__process_oriented; pragmatic_normative__pragmatic; pragmatic_normative__normative,,,
your performance,0.6015,0.5,251,False,mit__agility; mit__execution; mit__performance,,,
competition and,0.6009,0.5,78,False,open_closed__open_system; open_closed__closed_system; pragmatic_normative__pragmatic; mit__innovation; mit__performance,,,
perform well,0.5986,0.5,122,False,mit__execution; mit__performance,,,
tasks that,0.5975,0.5,83,False,process_results__process_oriented; job_employee__job_oriented; mit__execution; mit__innovation,,,
strategies,0.5973,0.5,304,False,pragmatic_normative__pragmatic,,,
improvement and,0.596,0.5,56,False,mit__execution; mit__innovation; mit__performance,,,
improving,0.5949,0.5,454,False,open_closed__open_system; mit__innovation; mit__performance,,,
successful,0.5947,0.5,830,False,mit__execution; mit__innovation,,,
fulfilling,0.5944,0.5,199,False,pragmatic_normative__normative; mit__execution,,,
your success,0.5935,0.5,145,False,mit__execution,,,
responsibility and,0.5927,0.5,175,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__integrity; mit__respect,,,
succeed,0.5922,0.5,1037,False,mit__execution,,,
the goal,0.5918,0.5,58,False,,,,
and result,0.5914,0.5,72,False,,,,
making decisions,0.5911,0.5,69,False,process_results__process_oriented; pragmatic_normative__normative; mit__execution,,,
planning and,0.5907,0.5,120,False,process_results__process_oriented; tight_loose__tight_control; mit__execution,,,
tasks and,0.5899,0.5,158,False,process_results__process_oriented; job_employee__job_oriented; tight_loose__tight_control; mit__execution,,,
actions,0.5897,0.5,285,False,process_results__process_oriented; tight_loose__tight_control; pragmatic_normative__normative; mit__execution,,,
winning,0.5873,0.5,73,False,,,,
strategic,0.5861,0.5,487,False,pragmatic_normative__pragmatic; mit__innovation,,,
your goals,0.5858,0.5,81,False,,,,
management and,0.5857,0.5,2249,False,process_results__process_oriented; professional_parochial__professional; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__performance,,,
result,0.5854,0.5,674,False,,,,
functioning,0.5852,0.5,54,False,tight_loose__loose_control; pragmatic_normative__normative; mit__execution,,,
operate,0.5852,0.5,188,False,process_results__process_oriented; job_employee__job_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__execution,,,
production,0.5851,0.5,456,False,process_results__process_oriented; pragmatic_normative__pragmatic; mit__execution; mit__innovation; mit__performance,,,
determined,0.585,0.5,141,False,open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__agility,,,
for improvement,0.5825,0.5,267,False,mit__execution; mit__performance,,,
accountability,0.5823,1.0,504,True,tight_loose__tight_control; pragmatic_normative__normative; mit__execution; mit__integrity; mit__performance; mit__respect,,,
decision makers,0.5819,0.5,75,False,process_results__process_oriented; pragmatic_normative__normative,,,
objective,0.5818,0.5,107,False,pragmatic_normative__normative,,,
feedback and,0.5816,0.5,140,False,process_results__process_oriented,,,
individual performance,0.5812,0.5,55,False,mit__performance,,,
effectively,0.5809,0.5,247,False,pragmatic_normative__pragmatic; mit__agility; mit__execution; mit__integrity,,,
rewarding and,0.5784,0.5,72,False,open_closed__open_system,,,
teamwork and,0.5782,0.5,140,False,process_results__process_oriented; mit__collaboration,,,
improvement,0.5779,0.5,1053,False,mit__execution; mit__innovation; mit__performance,,,
the competition,0.5778,0.5,105,False,mit__performance,,,
accomplishments,0.5775,0.5,86,False,mit__performance,,,
insights,0.5768,0.5,138,False,mit__innovation,,,
job for,0.5765,0.5,496,False,mit__execution,,,
career the,0.5764,0.5,301,False,professional_parochial__professional; open_closed__open_system; open_closed__closed_system,,,
decision,0.5763,0.5,1801,False,process_results__process_oriented; open_closed__closed_system; mit__integrity,,,
rewarding,0.5762,0.5,1116,False,open_closed__open_system,,,
responsibilities and,0.576,0.5,105,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__performance; mit__respect,,,
advancing,0.5758,0.5,147,False,tight_loose__loose_control; mit__agility; mit__execution,,,
fast track,0.5749,0.5,61,False,mit__agility; mit__performance,,,
targets,0.5746,1.0,301,True,,,,
the career,0.5737,0.5,303,False,professional_parochial__professional; mit__performance,,,
competition,0.5728,0.5,1013,False,mit__performance,,,
impacting,0.5723,0.5,85,False,,,,
with opportunities,0.5719,0.5,161,False,open_closed__open_system; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__diversity,,,
decisions that,0.5717,0.5,69,False,process_results__process_oriented; pragmatic_normative__normative,,,
satisfaction,0.5717,0.5,483,False,pragmatic_normative__normative; mit__customer_orientation; mit__execution; mit__integrity; mit__performance; mit__respect,,,
achievements,0.5714,0.5,88,False,,,,
career,0.5713,0.5,20166,False,professional_parochial__professional; mit__performance,,,
business,0.5713,0.5,10223,False,professional_parochial__parochial; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__customer_orientation; mit__innovation,,,
performance driven,0.571,0.5,65,False,pragmatic_normative__pragmatic; mit__performance,,,
making good,0.5708,0.5,59,False,open_closed__open_system; pragmatic_normative__normative; mit__innovation; mit__integrity; mit__performance,,,
career and,0.5706,0.5,473,False,professional_parochial__professional; mit__performance,,,
effort and,0.5701,0.5,74,False,pragmatic_normative__pragmatic,,,
process for,0.5701,0.5,147,False,process_results__process_oriented; mit__execution,,,
processing,0.5699,0.5,379,False,process_results__process_oriented; job_employee__job_oriented; tight_loose__tight_control; mit__execution,,,
hardworking and,0.5699,0.5,64,False,job_employee__job_oriented; pragmatic_normative__pragmatic; mit__innovation,,,
opportunities and,0.5694,0.5,1022,False,open_closed__open_system; mit__diversity; mit__innovation,,,
accountability for,0.5694,0.5,66,False,pragmatic_normative__normative; mit__execution; mit__integrity; mit__performance; mit__respect,,,
ambitions,0.5692,0.5,68,False,,,,
job and,0.5689,0.5,780,False,job_employee__job_oriented; job_employee__employee_oriented; tight_loose__loose_control; mit__execution,,,
sales goals,0.5683,0.5,66,False,mit__customer_orientation,,,
productive,0.5677,0.5,303,False,job_employee__job_oriented; pragmatic_normative__pragmatic; mit__execution; mit__innovation,,,
your career,0.5676,0.5,3390,False,professional_parochial__professional,,,
efficiency and,0.5675,0.5,63,False,tight_loose__loose_control; pragmatic_normative__pragmatic; mit__performance,,,
impacts,0.5673,0.5,141,False,,,,
based performance,0.5673,0.5,162,False,pragmatic_normative__pragmatic; mit__performance,,,
process you,0.567,0.5,61,False,process_results__process_oriented; mit__execution,,,
leadership and,0.5668,0.5,510,False,tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__collaboration; mit__execution; mit__performance,,,
efforts,0.5666,0.5,567,False,mit__execution,,,
the opportunities,0.5665,0.5,165,False,open_closed__open_system; mit__diversity,,,
performance but,0.5662,0.5,64,False,pragmatic_normative__pragmatic; mit__agility; mit__performance,,,
development,0.5659,0.5,6486,False,process_results__process_oriented; tight_loose__loose_control; mit__innovation,,,
delivering,0.5657,0.5,167,False,mit__execution,,,
decisions made,0.5652,0.5,99,False,process_results__process_oriented; pragmatic_normative__normative,,,
your management,0.5651,0.5,57,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__execution,,,
career for,0.5648,0.5,93,False,professional_parochial__professional,,,
performance management,0.5646,0.5,87,False,mit__performance,,,
impactful,0.5643,0.5,141,False,pragmatic_normative__pragmatic; mit__agility,,,
expectations and,0.5643,0.5,183,False,mit__execution,,,
marketing,0.5643,0.5,851,False,open_closed__open_system; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__customer_orientation; mit__innovation,,,
planning,0.5642,0.5,1013,False,process_results__process_oriented,,,
the process,0.5641,0.5,483,False,process_results__process_oriented; mit__execution,,,
responsibility,0.5622,0.5,1394,False,tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__integrity; mit__respect,,,
perform,0.5621,0.5,678,False,mit__execution; mit__performance,,,
opportunity and,0.5616,0.5,262,False,mit__diversity,,,
things done,0.5614,0.5,621,False,mit__execution,,,
advancement and,0.5611,0.5,248,False,mit__innovation; mit__performance,,,
impact,0.561,1.0,1027,True,,,,
tasks good,0.5602,0.5,57,False,job_employee__job_oriented; mit__execution,,,
plans and,0.5602,0.5,77,False,mit__execution,,,
opportunities,0.5593,0.5,21214,False,open_closed__open_system; mit__diversity,,,
leadership,0.5589,0.5,6819,False,tight_loose__tight_control; tight_loose__loose_control; mit__collaboration; mit__execution; mit__performance,,,
advancement the,0.5582,0.5,121,False,open_closed__open_system; mit__innovation,,,
improve,0.558,0.5,1503,False,,,,
jobs the,0.558,0.5,134,False,job_employee__job_oriented; mit__execution,,,
with management,0.5578,0.5,412,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__execution,,,
the talent,0.5577,0.5,106,False,mit__performance,,,
detail,0.5576,0.5,159,False,process_results__process_oriented; pragmatic_normative__pragmatic; mit__agility,,,
progressing,0.5574,0.5,81,False,mit__agility; mit__execution,,,
action,0.5573,0.5,366,False,process_results__process_oriented; tight_loose__tight_control; mit__execution,,,
for management,0.5571,0.5,157,False,tight_loose__tight_control; mit__execution,,,
promotion and,0.5568,0.5,291,False,mit__performance,,,
reward,0.5567,0.5,678,False,,,,
hardworking,0.5566,0.5,460,False,job_employee__job_oriented; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic,,,
process the,0.5562,0.5,82,False,process_results__process_oriented; mit__execution,,,
management,0.5562,0.5,38993,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__execution; mit__performance,,,
research,0.5562,0.5,1171,False,mit__innovation,,,
the expectations,0.5557,0.5,84,False,mit__execution,,,
perform the,0.5549,0.5,57,False,mit__execution,,,
based work,0.5543,0.5,55,False,job_employee__job_oriented; job_employee__employee_oriented; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__performance,,,
operational,0.5542,0.5,413,False,process_results__process_oriented; tight_loose__tight_control; mit__execution,,,
promising,0.554,0.5,96,False,open_closed__open_system; pragmatic_normative__pragmatic; mit__execution; mit__innovation,,,
opportunity,0.554,0.5,9627,False,mit__diversity,,,
business decisions,0.554,0.5,54,False,pragmatic_normative__pragmatic; pragmatic_normative__normative,,,
capability,0.554,0.5,96,False,tight_loose__loose_control; mit__agility; mit__performance,,,
execution,0.5539,0.5,249,False,process_results__process_oriented; mit__execution,,,
opportunities for,0.5537,0.5,3226,False,open_closed__open_system; mit__diversity; mit__innovation,,,
how work,0.5536,0.5,81,False,process_results__process_oriented; open_closed__closed_system,,,
the decision,0.5534,0.5,118,False,pragmatic_normative__normative,,,
situations,0.5528,0.5,249,False,open_closed__closed_system; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__diversity,,,
teamwork,0.5527,0.5,845,False,mit__collaboration,,,
advancement,0.5526,0.5,4098,False,mit__innovation; mit__performance,,,
compete with,0.5525,0.5,126,False,mit__collaboration; mit__performance,,,
with opportunity,0.5518,0.5,84,False,,,,
for advancement,0.5517,0.5,1395,False,professional_parochial__professional; mit__innovation; mit__performance,,,
learning and,0.5516,0.5,919,False,process_results__process_oriented; open_closed__open_system; mit__innovation,,,
advancement you,0.5516,0.5,99,False,mit__execution; mit__innovation,,,
productivity,0.5516,0.5,400,False,job_employee__job_oriented; job_employee__employee_oriented; pragmatic_normative__pragmatic,,,
opportunities the,0.5507,0.5,326,False,open_closed__open_system; mit__diversity,,,
from leadership,0.5505,0.5,107,False,tight_loose__loose_control; mit__execution; mit__performance,,,
job,0.5494,0.25,20885,False,job_employee__job_oriented; mit__execution; mit__integrity,,,
doing something,0.5493,0.25,55,False,mit__execution,,,
job work,0.5491,0.25,108,False,job_employee__job_oriented; job_employee__employee_oriented; mit__execution,,,
approaches,0.5481,0.25,75,False,process_results__process_oriented; open_closed__open_system; mit__innovation,,,
approach and,0.548,0.25,52,False,process_results__process_oriented; pragmatic_normative__normative; mit__innovation,,,
from management,0.5478,0.25,724,False,process_results__process_oriented; tight_loose__loose_control,,,
creativity and,0.5477,0.25,64,False,open_closed__open_system; pragmatic_normative__pragmatic; mit__innovation,,,
the operations,0.5475,0.25,132,False,process_results__process_oriented; tight_loose__tight_control; mit__execution,,,
and develop,0.5475,0.25,335,False,mit__innovation,,,
feedback,0.5475,0.25,1656,False,,,,
responsibilities,0.5475,0.25,1100,False,pragmatic_normative__normative; mit__execution; mit__respect,,,
result the,0.5473,0.25,63,False,,,,
and performance,0.5473,0.25,158,False,mit__performance,,,
expectations for,0.5471,0.25,113,False,mit__execution,,,
opportunities progress,0.5467,0.25,92,False,,,,
efficient,0.5465,0.25,611,False,tight_loose__loose_control; pragmatic_normative__pragmatic; mit__agility; mit__performance,,,
