term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
deliver,0.754,1.0,433,True,,,,
execution,0.7472,1.0,249,True,process_results__process_oriented; process_results__results_oriented,,,
delivering,0.7242,0.75,167,False,process_results__results_oriented,,,
executed,0.6656,0.5,56,False,,,,
delivery,0.6616,1.0,317,True,,,,
accomplish,0.6356,0.5,130,False,process_results__results_oriented,,,
execute,0.6351,1.0,132,True,,,,
operate,0.6285,0.5,188,False,process_results__process_oriented; process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control; tight_loose__loose_control,,,
success,0.6136,0.5,1086,False,process_results__results_oriented; mit__innovation; mit__performance,,,
process for,0.6111,0.5,147,False,process_results__process_oriented; process_results__results_oriented,,,
perform,0.6104,0.5,678,False,process_results__results_oriented; mit__performance,,,
operational,0.6034,0.5,413,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control,,,
achieving,0.6013,0.5,125,False,process_results__results_oriented; open_closed__open_system; pragmatic_normative__normative; mit__innovation; mit__performance,,,
accountability,0.6009,1.0,504,True,process_results__results_oriented; tight_loose__tight_control; pragmatic_normative__normative; mit__integrity; mit__performance; mit__respect,,,
process the,0.5982,0.5,82,False,process_results__process_oriented; process_results__results_oriented,,,
performed,0.597,0.5,109,False,,,,
achieve,0.5967,0.5,494,False,process_results__results_oriented; open_closed__open_system; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__agility; mit__innovation; mit__performance,,,
things done,0.5955,0.5,621,False,process_results__results_oriented,,,
operates,0.5949,0.5,160,False,,,,
perform the,0.5935,0.5,57,False,process_results__results_oriented,,,
processing,0.5906,0.5,379,False,process_results__process_oriented; process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control,,,
task,0.5903,0.5,467,False,process_results__process_oriented; process_results__results_oriented; job_employee__job_oriented,,,
success and,0.5903,0.5,81,False,process_results__results_oriented; mit__innovation; mit__performance,,,
gets done,0.587,0.5,52,False,,,,
the process,0.5869,0.5,483,False,process_results__process_oriented; process_results__results_oriented,,,
responsibilities and,0.5863,0.5,105,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__performance; mit__respect,,,
outcome,0.5848,0.5,75,False,process_results__results_oriented,,,
being done,0.5844,0.5,82,False,,,,
the task,0.5837,0.5,51,False,process_results__process_oriented; process_results__results_oriented; job_employee__job_oriented; mit__innovation,,,
process you,0.5827,0.5,61,False,process_results__process_oriented; process_results__results_oriented,,,
accountability for,0.5824,0.5,66,False,process_results__results_oriented; pragmatic_normative__normative; mit__integrity; mit__performance; mit__respect,,,
process,0.5822,0.5,5347,False,process_results__process_oriented,,,
operation,0.5819,0.5,391,False,process_results__process_oriented,,,
tasks,0.5808,0.5,1982,False,process_results__process_oriented; process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control,,,
work through,0.5803,0.5,67,False,process_results__process_oriented; job_employee__job_oriented; mit__collaboration,,,
succeed and,0.5796,0.5,108,False,process_results__results_oriented,,,
the operations,0.5793,0.5,132,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control,,,
you perform,0.5789,0.5,136,False,,,,
the tasks,0.5789,0.5,93,False,process_results__process_oriented; process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control,,,
actions,0.5762,0.5,285,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; pragmatic_normative__normative,,,
responsibilities,0.5752,0.5,1100,False,process_results__results_oriented; pragmatic_normative__normative; mit__respect,,,
progress,0.5749,0.5,1600,False,process_results__process_oriented; process_results__results_oriented; mit__agility; mit__innovation,,,
doing something,0.5718,0.5,55,False,process_results__results_oriented,,,
the success,0.5717,0.5,54,False,process_results__results_oriented; mit__innovation; mit__performance,,,
deliverables,0.5715,0.5,158,False,,,,
prepared work,0.5713,0.5,117,False,process_results__process_oriented; job_employee__job_oriented,,,
operating,0.5705,0.5,206,False,process_results__process_oriented,,,
tasks and,0.5695,0.5,158,False,process_results__process_oriented; process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control,,,
duties,0.5663,0.5,273,False,tight_loose__tight_control,,,
process and,0.5633,0.5,332,False,process_results__process_oriented,,,
outcomes,0.5626,0.5,93,False,process_results__results_oriented,,,
