term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
collaboration,0.8544,1.0,1151,False,open_closed__open_system,,,
team collaboration,0.8453,0.75,99,False,,,,
collaboration and,0.8187,0.75,183,False,open_closed__open_system,,,
cooperation,0.816,1.0,95,True,open_closed__open_system; tight_loose__loose_control; mit__integrity,,,
collaboration with,0.8098,0.75,59,False,,,,
collaborative team,0.8005,0.75,103,False,,,,
cooperative,0.7842,0.75,214,False,open_closed__closed_system; tight_loose__loose_control,,,
collaborative,0.7817,1.0,2381,True,open_closed__open_system,,,
collaborate,0.7814,0.75,248,False,open_closed__open_system,,,
collaborate with,0.7727,0.75,83,False,open_closed__open_system,,,
working together,0.7656,1.0,84,True,job_employee__job_oriented; job_employee__employee_oriented,,,
teamwork,0.7643,1.0,845,True,process_results__results_oriented,,,
together,0.7642,1.0,664,True,open_closed__closed_system,,,
collaborative and,0.7612,0.75,288,False,open_closed__open_system,,,
team work,0.7575,0.75,1146,False,,,,
collaboration across,0.7508,0.75,54,False,,,,
teamwork and,0.7481,0.75,140,False,process_results__process_oriented; process_results__results_oriented,,,
team with,0.7371,0.75,303,False,,,,
collaborative work,0.734,0.75,136,False,,,,
collaborating,0.7198,0.75,51,False,,,,
good collaboration,0.7184,0.75,66,False,open_closed__open_system,,,
together and,0.7111,0.75,61,False,,,,
work together,0.7092,0.75,148,False,,,,
team working,0.7052,0.75,95,False,,,,
people collaborative,0.7036,0.75,78,False,,,,
team,0.7034,1.0,25175,True,,,,
very collaborative,0.7023,0.75,235,False,,,,
teammates,0.6963,0.5,493,False,,,,
coordination,0.6931,0.5,113,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control,,,
team and,0.6921,0.5,1763,False,,,,
teammates and,0.689,0.5,54,False,,,,
team bonding,0.6864,0.5,64,False,,,,
team team,0.6855,0.5,207,False,,,,
team people,0.6843,0.5,135,False,,,,
working team,0.6838,0.5,77,False,,,,
partnership,0.6834,1.0,318,True,,,,
team company,0.6816,0.5,50,False,professional_parochial__parochial,,,
work team,0.6787,0.5,152,False,,,,
team building,0.6768,0.5,241,False,,,,
collaborative culture,0.6728,1.0,422,True,open_closed__open_system,,,
partners,0.6715,0.5,512,False,,,,
team members,0.6712,0.5,1152,False,,,,
teams with,0.6703,0.5,93,False,,,,
each other,0.6689,0.5,952,False,,,,
team dynamics,0.6636,0.5,67,False,,,,
team mates,0.662,0.5,178,False,,,,
and collaboration,0.6612,0.5,144,False,,,,
colleagues with,0.6569,0.5,62,False,open_closed__closed_system,,,
team support,0.6565,0.5,90,False,,,,
and collaborative,0.656,0.5,362,False,open_closed__open_system,,,
team some,0.6534,0.5,67,False,,,,
culture collaboration,0.6532,0.5,64,False,,,,
great collaborative,0.6523,0.5,64,False,,,,
working with,0.651,0.5,1731,False,process_results__process_oriented; job_employee__job_oriented; open_closed__closed_system; mit__execution,,,
mutual,0.6497,0.5,447,False,open_closed__closed_system,,,
organization with,0.6468,0.5,267,False,tight_loose__tight_control; tight_loose__loose_control,,,
team based,0.6461,0.5,72,False,,,,
team meetings,0.6435,0.5,55,False,,,,
team member,0.6423,0.5,154,False,,,,
colleagues,0.6395,0.5,6875,False,open_closed__closed_system,,,
colleagues and,0.638,0.5,714,False,,,,
team friendly,0.6374,0.5,56,False,,,,
teams the,0.6366,0.5,127,False,,,,
workplace with,0.6352,0.5,89,False,job_employee__employee_oriented; open_closed__closed_system,,,
partners group,0.6324,0.5,63,False,,,,
community and,0.6322,0.5,142,False,open_closed__closed_system; mit__diversity,,,
people team,0.6322,0.5,132,False,,,,
communication,0.6308,0.5,3140,False,,,,
