term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
company company,0.8237,0.75,102,False,mit__customer_orientation,,,
company,0.8002,0.75,71496,False,tight_loose__loose_control; mit__customer_orientation,,,
about company,0.7949,0.75,106,False,mit__customer_orientation,,,
corporate company,0.7828,0.75,53,False,,,,
company culture,0.7762,1.0,2693,True,,,,
corporate,0.7591,0.75,5205,False,tight_loose__loose_control,,,
company feel,0.7575,0.75,55,False,mit__customer_orientation,,,
company people,0.7547,0.75,94,False,job_employee__employee_oriented; mit__customer_orientation,,,
company values,0.7527,1.0,234,True,pragmatic_normative__normative,,,
company reputation,0.7469,0.75,95,False,mit__customer_orientation,,,
companies,0.7448,0.75,3873,False,mit__customer_orientation,,,
company overall,0.7431,0.75,293,False,mit__customer_orientation,,,
corp,0.7363,0.75,165,False,mit__collaboration,,,
corporation,0.7351,0.75,611,False,,,,
company itself,0.735,0.75,74,False,,,,
company and,0.7332,0.75,2207,False,mit__customer_orientation,,,
the company,0.7317,0.75,13959,False,mit__customer_orientation,,,
company doing,0.7299,0.75,61,False,job_employee__employee_oriented; mit__customer_orientation; mit__execution,,,
corporate world,0.7262,0.75,101,False,,,,
employees company,0.7257,0.75,76,False,job_employee__employee_oriented,,,
company management,0.7253,0.75,133,False,,,,
company name,0.7189,0.75,208,False,,,,
company work,0.7181,0.75,8493,False,job_employee__job_oriented; job_employee__employee_oriented,,,
companies work,0.7174,0.75,150,False,,,,
company get,0.7165,0.75,102,False,mit__customer_orientation,,,
based company,0.7138,0.75,149,False,,,,
company learn,0.7131,0.75,171,False,mit__customer_orientation,,,
companies and,0.7122,0.75,136,False,,,,
company politics,0.7081,0.75,118,False,,,,
company growing,0.7081,0.75,69,False,,,,
company from,0.7066,0.75,73,False,,,,
the corporate,0.7048,0.75,528,False,,,,
company wide,0.7028,0.75,116,False,mit__customer_orientation,,,
company environment,0.7019,0.75,74,False,,,,
work company,0.7016,0.75,116,False,job_employee__job_oriented; job_employee__employee_oriented,,,
company hard,0.7011,0.75,125,False,,,,
within company,0.7002,0.75,179,False,mit__customer_orientation,,,
corporate culture,0.7002,0.75,1000,False,,,,
company truly,0.6997,0.5,56,False,mit__customer_orientation,,,
company structure,0.6992,0.5,81,False,,,,
company promotes,0.6987,0.5,66,False,,,,
company seems,0.6982,0.5,84,False,mit__customer_orientation,,,
company good,0.6973,0.5,1710,False,mit__customer_orientation,,,
