term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
professional career,0.8378,0.75,56,False,,,,
professional,0.8276,1.0,4581,True,,,,
professionals,0.8211,0.75,986,False,,,,
professionals and,0.808,0.75,52,False,,,,
profession,0.8039,0.75,61,False,job_employee__employee_oriented; tight_loose__loose_control,,,
professional and,0.8002,0.75,411,False,,,,
professional people,0.7993,0.75,105,False,,,,
professional working,0.7966,0.75,55,False,,,,
professional work,0.7777,0.75,167,False,job_employee__job_oriented,,,
professionalism,0.7666,0.75,354,False,,,,
very professional,0.7656,0.75,481,False,,,,
professional company,0.7641,0.75,55,False,professional_parochial__parochial,,,
highly professional,0.7613,0.75,77,False,,,,
professional development,0.7594,1.0,536,True,,,,
experienced professionals,0.7581,0.75,67,False,,,,
not professional,0.7568,0.75,50,False,,,,
are professional,0.7566,0.75,64,False,,,,
professionalism and,0.7541,0.75,60,False,,,,
professional experience,0.7498,0.75,83,False,,,,
professional life,0.7455,0.75,60,False,,,,
expertise,0.739,0.75,464,False,open_closed__open_system; open_closed__closed_system; mit__innovation,,,
good professional,0.7386,0.75,60,False,,,,
professional good,0.7328,0.75,55,False,,,,
professional growth,0.7309,0.75,327,False,,,,
expertise and,0.73,0.75,61,False,process_results__process_oriented; open_closed__open_system; mit__innovation,,,
your professional,0.73,0.75,89,False,,,,
professionally,0.7291,0.75,332,False,pragmatic_normative__pragmatic,,,
expert,0.7258,1.0,126,True,,,,
career with,0.7216,0.75,243,False,open_closed__open_system; open_closed__closed_system,,,
great professional,0.7167,0.75,53,False,,,,
career,0.7165,0.75,20166,False,process_results__results_oriented; mit__performance,,,
professional environment,0.7149,0.75,364,False,,,,
careers,0.6938,0.5,512,False,,,,
industry experience,0.6908,0.5,112,False,mit__customer_orientation,,,
specialists,0.689,0.5,76,False,,,,
young professionals,0.6882,0.5,100,False,,,,
career the,0.6844,0.5,301,False,process_results__results_oriented; open_closed__open_system; open_closed__closed_system,,,
technical skills,0.6805,1.0,179,True,,,,
professional atmosphere,0.6766,0.5,99,False,,,,
professional culture,0.6759,0.5,60,False,,,,
industry work,0.6747,0.5,100,False,job_employee__job_oriented; pragmatic_normative__pragmatic,,,
professionally and,0.6713,0.5,62,False,,,,
career work,0.6697,0.5,77,False,job_employee__job_oriented; job_employee__employee_oriented,,,
career they,0.6678,0.5,76,False,,,,
skilled people,0.6645,0.5,52,False,mit__performance,,,
experts,0.6645,0.5,228,False,,,,
specialist,0.6596,1.0,1007,True,,,,
career development,0.6595,0.5,1425,False,,,,
about career,0.6589,0.5,79,False,,,,
career advancement,0.658,1.0,984,True,,,,
develop career,0.656,0.5,58,False,,,,
technologists,0.6549,0.5,86,False,,,,
technology analyst,0.6504,0.5,155,False,,,,
career and,0.6487,0.5,473,False,process_results__results_oriented; mit__performance,,,
for professional,0.6482,0.5,250,False,,,,
technologist,0.6481,0.5,70,False,,,,
your career,0.648,0.5,3390,False,process_results__results_oriented,,,
the career,0.6478,0.5,303,False,process_results__results_oriented; mit__performance,,,
career for,0.6458,0.5,93,False,process_results__results_oriented,,,
technical work,0.6447,0.5,91,False,job_employee__job_oriented,,,
and professional,0.6435,0.5,551,False,,,,
industry,0.6421,0.5,8885,False,professional_parochial__parochial; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__customer_orientation,,,
work career,0.6384,0.5,69,False,job_employee__job_oriented; job_employee__employee_oriented,,,
the technical,0.636,0.5,84,False,process_results__process_oriented; pragmatic_normative__pragmatic,,,
skilled and,0.6357,0.5,54,False,open_closed__open_system,,,
career there,0.632,0.5,117,False,,,,
industry knowledge,0.6312,1.0,62,True,,,,
career very,0.6297,0.5,73,False,,,,
make career,0.6284,0.5,86,False,,,,
industry the,0.6278,0.5,221,False,pragmatic_normative__pragmatic,,,
consultant,0.6263,0.5,819,False,mit__customer_orientation,,,
future career,0.6262,0.5,83,False,,,,
analyst,0.6256,0.5,7778,False,,,,
consultants,0.6246,0.5,282,False,mit__customer_orientation,,,
tech work,0.6241,0.5,72,False,job_employee__job_oriented,,,
industry with,0.6231,0.5,60,False,professional_parochial__parochial; open_closed__closed_system; pragmatic_normative__pragmatic; mit__customer_orientation; mit__innovation,,,
begin career,0.623,0.5,87,False,,,,
career you,0.6226,0.5,240,False,process_results__results_oriented,,,
operations specialist,0.6196,0.5,63,False,,,,
tech,0.6191,0.5,5221,False,,,,
technical,0.6189,0.5,2183,False,pragmatic_normative__pragmatic,,,
industry and,0.6183,0.5,430,False,pragmatic_normative__pragmatic; mit__innovation,,,
technical people,0.6182,0.5,72,False,mit__customer_orientation,,,
career progress,0.6171,0.5,99,False,,,,
executives,0.616,0.5,419,False,tight_loose__tight_control; tight_loose__loose_control; mit__performance,,,
technical knowledge,0.6151,0.5,74,False,,,,
industry for,0.6146,0.5,70,False,pragmatic_normative__pragmatic,,,
career progression,0.6128,0.5,1586,False,,,,
industry you,0.6126,0.5,128,False,,,,
