term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
respect,0.7935,1.0,1510,True,pragmatic_normative__normative; mit__integrity,,,
respect and,0.7905,0.75,146,False,open_closed__closed_system; pragmatic_normative__normative; mit__diversity; mit__integrity,,,
respectful,0.7731,1.0,495,True,open_closed__closed_system; pragmatic_normative__normative; mit__diversity; mit__integrity,,,
respect for,0.7312,0.75,376,False,pragmatic_normative__normative; mit__integrity,,,
respectful and,0.7286,0.75,74,False,open_closed__closed_system; pragmatic_normative__normative; mit__diversity; mit__integrity,,,
respect the,0.6876,0.5,74,False,mit__integrity,,,
caring,0.6866,1.0,583,True,mit__integrity,,,
respects,0.6825,0.5,91,False,mit__integrity,,,
respected,0.6748,0.5,677,False,open_closed__closed_system; mit__integrity,,,
caring and,0.6729,0.5,68,False,pragmatic_normative__normative; mit__integrity,,,
respected the,0.6528,0.5,62,False,mit__integrity,,,
caring about,0.6493,0.5,58,False,,,,
with respect,0.6492,0.5,252,False,mit__integrity,,,
care,0.6407,0.5,5321,False,,,,
care for,0.6399,0.5,318,False,,,,
respected and,0.6393,0.5,61,False,mit__integrity,,,
empathy,0.6383,0.5,128,False,pragmatic_normative__normative; mit__integrity,,,
comfort,0.6293,0.5,177,False,mit__integrity,,,
care and,0.628,0.5,173,False,,,,
well respected,0.622,0.5,216,False,mit__integrity,,,
peace,0.6207,0.5,90,False,mit__integrity,,,
treat people,0.6204,0.5,56,False,,,,
and respect,0.6199,0.5,136,False,,,,
regard,0.619,0.5,212,False,pragmatic_normative__normative,,,
good care,0.6187,0.5,100,False,,,,
feel valued,0.6177,0.5,110,False,pragmatic_normative__normative,,,
valued,0.6162,1.0,836,True,pragmatic_normative__normative; mit__integrity,,,
treat you,0.6136,0.5,236,False,,,,
takes care,0.6133,0.5,246,False,,,,
compassion,0.6123,0.5,56,False,pragmatic_normative__normative; mit__integrity,,,
taken care,0.6106,0.5,119,False,,,,
taking care,0.6066,0.5,85,False,,,,
lack respect,0.6057,0.5,80,False,,,,
polite,0.6051,0.5,105,False,mit__integrity,,,
moral,0.6034,0.5,249,False,pragmatic_normative__normative; mit__integrity,,,
supportive and,0.6009,0.5,596,False,mit__integrity,,,
ethics,0.6,0.5,778,False,tight_loose__loose_control; pragmatic_normative__normative; mit__integrity,,,
supportive,0.5987,1.0,4845,True,,,,
responsibility and,0.5955,0.5,175,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__integrity,,,
treats you,0.5915,0.5,76,False,,,,
attitude,0.5907,0.5,724,False,tight_loose__loose_control; pragmatic_normative__normative; mit__integrity,,,
responsibility,0.5897,0.5,1394,False,process_results__results_oriented; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__integrity,,,
treated like,0.5865,0.5,370,False,,,,
care about,0.5863,0.5,2313,False,,,,
respectable,0.585,0.5,105,False,open_closed__closed_system; mit__integrity,,,
emotionally,0.5843,0.5,63,False,mit__integrity,,,
ethical,0.5829,0.5,561,False,pragmatic_normative__normative; mit__integrity,,,
supportive good,0.5822,0.5,63,False,,,,
supportive people,0.5817,0.5,80,False,,,,
supportive the,0.5805,0.5,58,False,,,,
integrity and,0.5797,0.5,131,False,process_results__process_oriented; pragmatic_normative__normative; mit__integrity,,,
attitude and,0.5777,0.5,62,False,tight_loose__loose_control; pragmatic_normative__normative; mit__integrity,,,
care you,0.5771,0.5,124,False,,,,
safety,0.577,0.5,207,False,,,,
morals,0.5768,0.5,58,False,pragmatic_normative__normative; mit__integrity,,,
dealing with,0.5766,0.5,383,False,open_closed__closed_system; pragmatic_normative__normative; mit__execution; mit__integrity,,,
qualities,0.5749,0.5,54,False,pragmatic_normative__normative; mit__integrity,,,
support,0.5731,0.5,7188,False,,,,
loyalty,0.572,0.5,445,False,mit__integrity,,,
appreciation,0.5709,0.5,539,False,mit__integrity,,,
deserve,0.5702,0.5,170,False,mit__integrity,,,
ethics and,0.5681,0.5,151,False,tight_loose__loose_control; pragmatic_normative__normative; mit__integrity,,,
integrity,0.5677,0.5,558,False,process_results__process_oriented; pragmatic_normative__normative; mit__integrity,,,
consideration,0.5662,1.0,230,True,process_results__process_oriented; pragmatic_normative__normative; mit__integrity,,,
worthy,0.566,0.5,89,False,mit__integrity,,,
handled,0.5636,0.5,161,False,tight_loose__tight_control; mit__execution,,,
genuinely care,0.5626,0.5,94,False,,,,
feelings,0.5623,0.5,102,False,,,,
responsibilities and,0.5617,0.5,105,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__performance,,,
supportive culture,0.561,0.5,210,False,mit__diversity,,,
concern,0.5602,0.5,329,False,,,,
cared about,0.5589,0.5,106,False,,,,
thoughtful,0.5582,0.5,165,False,mit__integrity,,,
regard for,0.558,0.5,88,False,,,,
people care,0.5567,0.5,65,False,,,,
treated,0.5554,0.5,1435,False,,,,
helping people,0.5553,0.5,115,False,,,,
care the,0.555,0.5,87,False,,,,
