term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
the culture,0.5935,0.5,2227,False,open_closed__open_system; mit__diversity; mit__integrity; mit__respect,,,
culture,0.5885,0.5,46353,False,open_closed__open_system; mit__diversity; mit__integrity; mit__respect,,,
social,0.5817,0.5,1158,False,tight_loose__loose_control; mit__collaboration; mit__integrity,,,
explain,0.5718,0.5,190,False,,,,
dealing with,0.5714,0.5,383,False,pragmatic_normative__normative; mit__execution; mit__integrity; mit__respect,,,
style,0.5712,0.5,806,False,tight_loose__tight_control,,,
cultural,0.57,0.5,466,False,open_closed__open_system; mit__diversity; mit__integrity,,,
the community,0.5698,0.5,229,False,mit__collaboration,,,
determined,0.5695,0.5,141,False,process_results__results_oriented; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__agility,,,
culture and,0.5694,0.5,6106,False,open_closed__open_system; mit__diversity; mit__integrity; mit__respect,,,
colleagues with,0.5689,0.5,62,False,mit__collaboration,,,
culture with,0.5678,0.5,643,False,mit__diversity,,,
circumstances,0.5655,0.5,89,False,process_results__process_oriented,,,
cliquey,0.5643,1.0,136,True,,,,
challenging,0.5639,0.5,4365,False,open_closed__open_system,,,
resistant,0.5628,1.0,101,True,,,,
explanation,0.5625,0.5,84,False,,,,
outsiders,0.5625,0.5,67,False,,,,
struggle,0.5603,0.5,308,False,,,,
mutual,0.5599,0.5,447,False,mit__collaboration,,,
socially,0.5598,0.5,54,False,,,,
involved with,0.5591,0.5,130,False,tight_loose__loose_control; mit__collaboration,,,
the rules,0.559,0.5,63,False,process_results__process_oriented; tight_loose__tight_control; mit__integrity,,,
understanding,0.5581,0.5,1119,False,open_closed__open_system; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__integrity; mit__respect,,,
breaking,0.5575,0.5,91,False,,,,
community,0.5574,0.5,1417,False,mit__collaboration,,,
broad,0.5566,0.5,321,False,pragmatic_normative__pragmatic,,,
culture they,0.5558,0.5,160,False,mit__diversity,,,
strong culture,0.5553,0.5,491,False,,,,
history,0.5538,0.5,323,False,,,,
making,0.5531,0.5,3269,False,open_closed__open_system; mit__innovation,,,
community and,0.553,0.5,142,False,mit__collaboration; mit__diversity,,,
tough culture,0.5529,0.5,64,False,,,,
tricky,0.5524,0.5,124,False,,,,
with colleagues,0.5517,0.5,175,False,mit__collaboration,,,
culture the,0.5512,0.5,894,False,mit__diversity,,,
keeping,0.5493,0.25,424,False,mit__integrity; mit__respect,,,
culture some,0.549,0.25,148,False,open_closed__open_system; mit__diversity,,,
communities,0.5486,0.25,75,False,mit__diversity,,,
difficult,0.5476,0.25,6285,False,mit__agility,,,
society,0.5475,0.25,61,False,tight_loose__loose_control; mit__integrity; mit__respect,,,
associated with,0.5472,0.25,134,False,,,,
how work,0.5449,0.25,81,False,process_results__process_oriented; process_results__results_oriented,,,
familiar with,0.5447,0.25,76,False,,,,
constructive,0.5435,0.25,114,False,open_closed__open_system; pragmatic_normative__normative; mit__integrity,,,
competitive with,0.5435,0.25,190,False,open_closed__open_system; pragmatic_normative__pragmatic; mit__collaboration; mit__performance,,,
strict,0.5429,0.25,977,False,tight_loose__tight_control; mit__integrity,,,
workplace with,0.5429,0.25,89,False,job_employee__employee_oriented; mit__collaboration,,,
ways,0.5428,0.25,879,False,,,,
struggles,0.5428,0.25,82,False,,,,
not clear,0.5427,0.25,229,False,,,,
modern,0.5419,0.25,601,False,,,,
colleagues,0.5419,0.25,6875,False,mit__collaboration,,,
culturally,0.5417,0.25,93,False,open_closed__open_system; mit__diversity; mit__integrity; mit__respect,,,
business,0.5415,0.25,10223,False,process_results__results_oriented; professional_parochial__parochial; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__customer_orientation; mit__innovation,,,
experience with,0.5414,0.25,572,False,open_closed__open_system; mit__customer_orientation,,,
what,0.5409,0.25,9032,False,,,,
experiences,0.5406,0.25,580,False,open_closed__open_system; mit__diversity; mit__innovation; mit__integrity,,,
confusion,0.5405,0.25,160,False,mit__diversity,,,
expertise,0.5404,0.25,464,False,professional_parochial__professional; open_closed__open_system; mit__innovation,,,
culture this,0.5396,0.25,73,False,mit__diversity,,,
inside,0.5394,0.25,462,False,,,,
career with,0.5394,0.25,243,False,professional_parochial__professional; open_closed__open_system,,,
industry with,0.5388,0.25,60,False,professional_parochial__professional; professional_parochial__parochial; pragmatic_normative__pragmatic; mit__customer_orientation; mit__innovation,,,
colleagues the,0.5385,0.25,108,False,mit__collaboration,,,
difficult and,0.5384,0.25,145,False,,,,
culture that,0.5382,0.25,403,False,mit__diversity,,,
concerning,0.5381,0.25,51,False,,,,
