sheet,framework,dimension,pole,term,cosine_similarity,proposed_weight,expert_weight_override,base_weight,cross_load_count,effective_weight,corpus_frequency,is_seed,cross_loads_to,notes
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee friendly,0.7473,0.75,,0.75,0,0.75,1613,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee care,0.7431,0.75,,0.75,1,0.5,51,False,mit__customer_orientation,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee focused,0.7323,0.75,,0.75,1,0.5,72,False,job_employee__job_oriented,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee satisfaction,0.7277,1,,1.0,0,1.0,118,True,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee development,0.7221,1,,1.0,0,1.0,175,True,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,workplace,0.7192,0.75,,0.75,3,0.3,2553,False,job_employee__job_oriented; open_closed__closed_system; mit__collaboration,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee well,0.7166,0.75,,0.75,0,0.75,91,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,about employees,0.714,0.75,,0.75,0,0.75,418,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,the workplace,0.7064,0.75,0.25,0.25,4,0.0833,260,False,job_employee__job_oriented; open_closed__closed_system; tight_loose__loose_control; mit__collaboration,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,working life,0.7059,0.75,,0.75,1,0.5,63,False,job_employee__job_oriented,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee work,0.705,0.75,,0.75,1,0.5,52,False,job_employee__job_oriented,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee,0.6997,0.5,,0.5,0,0.5,10329,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee good,0.6985,0.5,,0.5,0,0.5,55,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees well,0.6941,0.5,,0.5,1,0.3333,214,False,mit__performance,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,working people,0.6931,0.5,,0.5,2,0.25,245,False,job_employee__job_oriented; professional_parochial__professional,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,working employees,0.693,0.5,,0.5,0,0.5,76,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees feel,0.6902,0.5,,0.5,0,0.5,94,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,about employee,0.6881,0.5,,0.5,0,0.5,104,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee needs,0.6864,0.5,,0.5,0,0.5,56,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee oriented,0.6841,0.5,,0.5,0,0.5,123,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees,0.6833,0.5,,0.5,0,0.5,19966,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees very,0.6829,0.5,0.25,0.25,0,0.25,235,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,worklife,0.6816,0.5,,0.5,1,0.3333,561,False,job_employee__job_oriented,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,job satisfaction,0.6816,0.5,,0.5,0,0.5,140,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,good workplace,0.6748,0.5,,0.5,0,0.5,266,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,work being,0.6743,0.5,0.25,0.25,1,0.1667,108,False,job_employee__job_oriented,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,workplace for,0.6734,0.5,0.25,0.25,1,0.1667,54,False,job_employee__job_oriented,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee appreciation,0.6712,0.5,,0.5,0,0.5,110,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees management,0.6706,0.5,,0.5,0,0.5,66,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee morale,0.6703,0.5,,0.5,0,0.5,120,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,workplace good,0.6669,0.5,,0.5,0,0.5,57,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees good,0.6638,0.5,,0.5,0,0.5,402,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,workplace and,0.6633,0.5,0.25,0.25,3,0.1,98,False,job_employee__job_oriented; tight_loose__tight_control; mit__collaboration,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,work life,0.6612,0.5,,0.5,1,0.3333,33507,False,job_employee__job_oriented,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,friendly employees,0.6584,0.5,,0.5,0,0.5,113,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee you,0.6584,0.5,0.25,0.25,0,0.25,94,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,workplace with,0.658,0.5,0.25,0.25,2,0.125,89,False,open_closed__closed_system; mit__collaboration,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,dedicated employees,0.658,0.5,,0.5,0,0.5,58,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,managing people,0.6566,0.5,,0.5,2,0.25,51,False,tight_loose__tight_control; tight_loose__loose_control,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,treats employees,0.6558,0.5,,0.5,0,0.5,81,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee the,0.6555,0.5,0.25,0.25,0,0.25,85,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees company,0.6555,0.5,,0.5,1,0.3333,76,False,professional_parochial__parochial,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees they,0.6538,0.5,0.25,0.25,0,0.25,243,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees for,0.6509,0.5,0.25,0.25,0,0.25,153,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,very employee,0.6509,0.5,0.25,0.25,0,0.25,152,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee centric,0.6509,0.5,,0.5,0,0.5,458,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,company work,0.6507,0.5,,0.5,2,0.25,8493,False,job_employee__job_oriented; professional_parochial__parochial,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,work people,0.6497,0.5,,0.5,1,0.3333,189,False,job_employee__job_oriented,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee support,0.6489,0.5,,0.5,0,0.5,50,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees the,0.6472,0.5,0.25,0.25,0,0.25,547,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee welfare,0.6459,0.5,,0.5,0,0.5,69,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,nice workplace,0.6458,0.5,,0.5,0,0.5,68,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee with,0.6442,0.5,0.25,0.25,0,0.25,54,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,good employee,0.644,0.5,,0.5,0,0.5,415,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees great,0.6437,0.5,,0.5,0,0.5,386,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees you,0.6411,0.5,0.25,0.25,0,0.25,160,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee and,0.6401,0.5,0.25,0.25,0,0.25,171,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,the employee,0.6391,0.5,0.25,0.25,0,0.25,500,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employees and,0.6388,0.5,0.25,0.25,0,0.25,1270,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,having work,0.6375,0.5,,0.5,1,0.3333,69,False,job_employee__job_oriented,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,treat employees,0.6355,0.5,,0.5,0,0.5,112,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,employee who,0.6353,0.5,0.25,0.25,0,0.25,53,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,loyal employees,0.6346,0.5,,0.5,1,0.3333,55,False,professional_parochial__parochial,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,the employees,0.6333,0.5,0.25,0.25,0,0.25,1223,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,work ethic,0.6328,0.5,,0.5,2,0.25,411,False,job_employee__job_oriented; pragmatic_normative__normative,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,work friendly,0.6325,0.5,,0.5,1,0.3333,98,False,job_employee__job_oriented,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,good employees,0.6323,0.5,,0.5,0,0.5,175,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,great workplace,0.6312,0.5,,0.5,0,0.5,348,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,work employee,0.6282,0.5,,0.5,0,0.5,76,False,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,work environment,0.628,0.5,,0.5,1,0.3333,7966,False,job_employee__job_oriented,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,wellbeing,0.627,1,,1.0,0,1.0,224,True,,
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,for employee,0.6267,0.5,0.25,0.25,0,0.25,235,False,,Generic stopword/duplicated-token bigram — weight reduced to 0.25
job_employee__employee_oriented,hofstede,job_employee,employee_oriented,company employee,0.6262,0.5,,0.5,1,0.3333,63,False,professional_parochial__parochial,
