term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
diversity,0.8123,1.0,3291,True,open_closed__open_system,,,
diversity and,0.8053,0.75,629,False,open_closed__open_system,,,
diverse,0.7939,1.0,1934,True,open_closed__open_system,,,
diverse and,0.7925,0.75,197,False,open_closed__open_system,,,
diversity the,0.7896,0.75,123,False,open_closed__open_system,,,
diversity inclusion,0.7815,0.75,58,False,open_closed__open_system,,,
the diversity,0.7792,0.75,63,False,open_closed__open_system,,,
diversity work,0.7552,0.75,61,False,open_closed__open_system,,,
diverse group,0.7438,0.75,50,False,open_closed__open_system,,,
diverse environment,0.7399,0.75,67,False,open_closed__open_system,,,
diverse work,0.7396,0.75,80,False,open_closed__open_system,,,
inclusive,0.7393,1.0,1255,True,open_closed__open_system,,,
inclusive and,0.7367,0.75,194,False,open_closed__open_system,,,
about diversity,0.733,0.75,57,False,,,,
diverse culture,0.7314,0.75,103,False,open_closed__open_system,,,
diversity good,0.723,0.75,60,False,open_closed__open_system,,,
very diverse,0.719,0.75,253,False,,,,
inclusive environment,0.7166,1.0,131,True,,,,
diversity not,0.7088,0.75,54,False,,,,
culture diversity,0.7072,0.75,99,False,,,,
not diverse,0.7038,0.75,62,False,,,,
for diversity,0.6977,0.5,71,False,open_closed__open_system,,,
inclusive culture,0.6964,0.5,236,False,,,,
multicultural,0.6914,1.0,139,True,,,,
focus diversity,0.6784,0.5,78,False,open_closed__open_system,,,
good diversity,0.677,0.5,69,False,open_closed__open_system,,,
with diverse,0.6736,0.5,86,False,,,,
very inclusive,0.672,0.5,177,False,,,,
inclusive work,0.6548,0.5,72,False,open_closed__open_system,,,
lack diversity,0.6469,0.5,212,False,,,,
great diversity,0.6463,0.5,69,False,,,,
varied,0.643,1.0,229,True,,,,
and inclusive,0.6389,0.5,252,False,,,,
diverse company,0.638,0.5,60,False,professional_parochial__parochial; open_closed__open_system,,,
and diverse,0.6357,0.5,208,False,,,,
diverse workforce,0.6331,0.5,90,False,,,,
and diversity,0.6246,0.5,203,False,,,,
culturally,0.6162,0.5,93,False,open_closed__open_system; open_closed__closed_system; mit__integrity; mit__respect,,,
minorities,0.6007,0.5,153,False,,,,
varying,0.5999,0.5,65,False,pragmatic_normative__pragmatic,,,
commitment diversity,0.5984,0.5,50,False,,,,
different aspects,0.5978,0.5,53,False,,,,
different people,0.5969,0.5,78,False,,,,
different opportunities,0.5959,0.5,60,False,open_closed__open_system,,,
cultural,0.5946,0.5,466,False,open_closed__open_system; open_closed__closed_system; mit__integrity,,,
broader,0.5902,0.5,89,False,,,,
inclusion,0.589,1.0,804,True,,,,
welcoming and,0.5827,0.5,166,False,open_closed__open_system; mit__respect,,,
different groups,0.5826,0.5,78,False,,,,
perspectives,0.5813,0.5,95,False,open_closed__open_system,,,
discrimination,0.5791,0.5,303,False,,,,
differently,0.5781,0.5,118,False,,,,
into different,0.5766,0.5,69,False,open_closed__open_system,,,
differs,0.5761,0.5,64,False,,,,
different things,0.5759,0.5,69,False,,,,
culture and,0.5743,0.5,6106,False,open_closed__open_system; open_closed__closed_system; mit__integrity; mit__respect,,,
across different,0.5723,0.5,108,False,,,,
between different,0.5703,0.5,101,False,,,,
racial,0.5699,0.5,73,False,,,,
mixed,0.5665,0.5,442,False,,,,
culture some,0.5619,0.5,148,False,open_closed__open_system; open_closed__closed_system,,,
differences,0.5616,0.5,114,False,,,,
inclusion and,0.5614,0.5,87,False,,,,
welcoming,0.5596,1.0,761,True,open_closed__open_system; open_closed__closed_system; mit__respect,,,
opportunities across,0.5594,0.5,63,False,open_closed__open_system,,,
with different,0.5591,0.5,235,False,,,,
racism,0.5555,0.5,130,False,,,,
specific,0.5539,0.5,1123,False,,,,
many different,0.5538,0.5,372,False,,,,
for different,0.5532,0.5,113,False,,,,
selective,0.5526,0.5,50,False,,,,
equal,0.5508,0.5,334,False,pragmatic_normative__normative,,,
culture,0.5504,0.5,46353,False,open_closed__open_system; open_closed__closed_system; mit__integrity; mit__respect,,,
culture limited,0.5497,0.25,65,False,,,,
different,0.5488,0.25,5235,False,,,,
respectful and,0.5465,0.25,74,False,open_closed__closed_system; pragmatic_normative__normative; mit__integrity; mit__respect,,,
groups and,0.545,0.25,95,False,mit__collaboration,,,
different parts,0.5434,0.25,75,False,,,,
environments,0.5423,0.25,246,False,,,,
multiple,0.5422,0.25,1389,False,,,,
opportunities and,0.5417,0.25,1022,False,process_results__results_oriented; open_closed__open_system; mit__innovation,,,
opportunities,0.5395,0.25,21214,False,process_results__results_oriented; open_closed__open_system,,,
diversified,0.5389,0.25,207,False,pragmatic_normative__pragmatic,,,
welcoming environment,0.5387,0.25,67,False,open_closed__open_system,,,
restrictions,0.5387,0.25,218,False,,,,
opportunities with,0.5387,0.25,112,False,open_closed__open_system,,,
culture with,0.5369,0.25,643,False,open_closed__closed_system,,,
groups,0.5368,0.25,1395,False,open_closed__closed_system; mit__collaboration,,,
apart from,0.5362,0.25,266,False,open_closed__closed_system; pragmatic_normative__pragmatic,,,
the opportunities,0.5344,0.25,165,False,process_results__results_oriented; open_closed__open_system,,,
equally,0.5335,0.25,155,False,,,,
the culture,0.5323,0.25,2227,False,open_closed__open_system; open_closed__closed_system; mit__integrity; mit__respect,,,
other groups,0.5319,0.25,82,False,,,,
supportive culture,0.5318,0.25,210,False,mit__respect,,,
community and,0.5309,0.25,142,False,open_closed__closed_system; mit__collaboration,,,
are different,0.5305,0.25,66,False,,,,
respectful,0.5291,0.25,495,False,open_closed__closed_system; pragmatic_normative__normative; mit__integrity; mit__respect,,,
discriminatory,0.5289,0.25,56,False,,,,
culture more,0.5288,0.25,57,False,,,,
mix,0.5279,0.25,193,False,,,,
culture all,0.5279,0.25,80,False,open_closed__closed_system,,,
opportunity and,0.5278,0.25,262,False,process_results__results_oriented,,,
environment and,0.5274,0.25,2873,False,,,,
culture lots,0.5268,0.25,221,False,,,,
color,0.5268,0.25,150,False,,,,
adapting,0.5264,0.25,125,False,open_closed__open_system; mit__agility; mit__innovation,,,
environment,0.5262,0.25,30847,False,,,,
culture many,0.5257,0.25,90,False,,,,
variety,0.5252,0.25,694,False,,,,
culture they,0.5251,0.25,160,False,open_closed__closed_system,,,
race,0.5249,0.25,176,False,,,,
equality,0.5248,0.25,120,False,,,,
opportunities the,0.5247,0.25,326,False,process_results__results_oriented; open_closed__open_system,,,
and inclusion,0.5244,0.25,458,False,,,,
unique,0.5235,0.25,383,False,mit__innovation,,,
overall culture,0.5233,0.25,102,False,,,,
the various,0.5233,0.25,74,False,,,,
culture within,0.5229,0.25,110,False,open_closed__open_system,,,
the different,0.522,0.25,141,False,,,,
situations,0.5218,0.25,249,False,process_results__results_oriented; open_closed__closed_system; pragmatic_normative__pragmatic; pragmatic_normative__normative,,,
about different,0.5217,0.25,65,False,,,,
freedom and,0.5206,0.25,67,False,tight_loose__loose_control,,,
from different,0.5203,0.25,191,False,,,,
culture the,0.5198,0.25,894,False,open_closed__closed_system,,,
isolated,0.5185,0.25,127,False,open_closed__closed_system,,,
separate,0.5178,0.25,119,False,,,,
culture but,0.5173,0.25,402,False,open_closed__closed_system,,,
many opportunities,0.5172,0.25,949,False,open_closed__open_system,,,
around different,0.5169,0.25,54,False,,,,
different than,0.5164,0.25,89,False,,,,
communities,0.5163,0.25,75,False,open_closed__closed_system,,,
across all,0.516,0.25,143,False,,,,
opportunity,0.5158,0.25,9627,False,process_results__results_oriented,,,
culture lot,0.5157,0.25,134,False,,,,
different areas,0.5157,0.25,221,False,,,,
particular,0.5143,0.25,506,False,,,,
comparison,0.5136,0.25,321,False,,,,
culture one,0.513,0.25,83,False,open_closed__closed_system,,,
conflict,0.5129,0.25,107,False,open_closed__closed_system; mit__collaboration,,,
welcoming culture,0.5125,0.25,68,False,open_closed__open_system,,,
culture open,0.5122,0.25,72,False,open_closed__open_system,,,
open culture,0.512,0.25,215,False,open_closed__open_system,,,
confusion,0.5111,0.25,160,False,open_closed__closed_system,,,
there culture,0.5111,0.25,81,False,open_closed__closed_system,,,
across multiple,0.511,0.25,54,False,,,,
disparity,0.5109,0.25,90,False,,,,
culture opportunity,0.5108,0.25,58,False,,,,
culture for,0.5099,0.25,254,False,,,,
each,0.5097,0.25,2470,False,,,,
based culture,0.5093,0.25,60,False,,,,
culture bit,0.5088,0.25,62,False,open_closed__closed_system,,,
transparency and,0.5085,0.25,107,False,mit__integrity,,,
opportunities within,0.5085,0.25,254,False,open_closed__open_system,,,
like culture,0.5083,0.25,55,False,,,,
culture overall,0.5074,0.25,119,False,,,,
minority,0.5068,0.25,142,False,,,,
freedom,0.5068,0.25,823,False,tight_loose__loose_control,,,
few opportunities,0.5062,0.25,134,False,,,,
choosing,0.5061,0.25,52,False,open_closed__open_system; open_closed__closed_system,,,
neutral,0.506,0.25,117,False,,,,
culture friendly,0.5056,0.25,206,False,,,,
restrictive,0.5054,0.25,127,False,open_closed__closed_system,,,
varies,0.505,0.25,424,False,,,,
independence,0.5048,0.25,231,False,tight_loose__loose_control,,,
independently,0.5047,0.25,128,False,tight_loose__loose_control,,,
culture less,0.5046,0.25,105,False,,,,
different from,0.5045,0.25,134,False,,,,
various,0.5042,0.25,1026,False,,,,
unclear,0.5041,0.25,510,False,open_closed__closed_system,,,
appearance,0.5041,0.25,60,False,mit__integrity,,,
comparison other,0.5039,0.25,95,False,,,,
multi,0.5038,0.25,327,False,,,,
culture changing,0.5037,0.25,54,False,open_closed__closed_system,,,
limited and,0.5031,0.25,106,False,,,,
culture supportive,0.5027,0.25,151,False,mit__respect,,,
culture that,0.5026,0.25,403,False,open_closed__closed_system,,,
environment some,0.5026,0.25,103,False,,,,
experiences,0.5024,0.25,580,False,open_closed__open_system; open_closed__closed_system; mit__innovation; mit__integrity,,,
ambiguous,0.5023,0.25,71,False,,,,
design,0.5022,0.25,306,False,process_results__process_oriented; open_closed__open_system; open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__innovation,,,
group and,0.502,0.25,148,False,mit__collaboration,,,
culture work,0.5019,0.25,1009,False,,,,
culture working,0.5018,0.25,87,False,,,,
very specific,0.5005,0.25,56,False,,,,
boundaries,0.5005,0.25,116,False,tight_loose__tight_control,,,
opportunities for,0.5005,0.25,3226,False,process_results__results_oriented; open_closed__open_system; mit__innovation,,,
experience and,0.5003,0.25,1147,False,open_closed__open_system; mit__innovation; mit__integrity,,,
respect and,0.5002,0.25,146,False,open_closed__closed_system; pragmatic_normative__normative; mit__integrity; mit__respect,,,
qualified,0.5,0.25,469,False,professional_parochial__professional; open_closed__open_system; mit__performance,,,
restricted,0.4999,0.25,151,False,,,,
opportunities some,0.4997,0.25,65,False,open_closed__open_system,,,
environment all,0.4996,0.25,62,False,,,,
unqualified,0.4995,0.25,105,False,mit__integrity; mit__performance,,,
with opportunities,0.4995,0.25,161,False,process_results__results_oriented; open_closed__open_system; tight_loose__loose_control; pragmatic_normative__pragmatic,,,
opportunities limited,0.4993,0.25,67,False,,,,
culture varies,0.4992,0.25,51,False,,,,
apart,0.499,0.25,413,False,open_closed__closed_system; mit__collaboration,,,
differ,0.4988,0.25,77,False,,,,
environment limited,0.4987,0.25,64,False,,,,
culture this,0.4983,0.25,73,False,open_closed__closed_system,,,
