term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
honesty,0.7474,1.0,80,True,mit__respect,,,
ethics,0.7141,0.75,778,False,tight_loose__loose_control; pragmatic_normative__normative; mit__respect,,,
ethical,0.7097,1.0,561,True,pragmatic_normative__normative; mit__respect,,,
trust,0.7083,1.0,1322,True,pragmatic_normative__normative; mit__respect,,,
integrity,0.7043,1.0,558,True,process_results__process_oriented; pragmatic_normative__normative; mit__respect,,,
trustworthy,0.6975,1.0,73,True,mit__respect,,,
trust and,0.6886,0.5,60,False,tight_loose__loose_control; pragmatic_normative__normative; mit__respect,,,
integrity and,0.6873,0.5,131,False,process_results__process_oriented; pragmatic_normative__normative; mit__respect,,,
moral,0.685,1.0,249,True,pragmatic_normative__normative; mit__respect,,,
ethics and,0.6605,0.5,151,False,tight_loose__loose_control; pragmatic_normative__normative; mit__respect,,,
ethical and,0.6577,0.5,68,False,pragmatic_normative__normative; mit__respect,,,
respectful,0.6461,0.5,495,False,open_closed__closed_system; pragmatic_normative__normative; mit__diversity; mit__respect,,,
morals,0.638,0.5,58,False,pragmatic_normative__normative; mit__respect,,,
respect and,0.6275,0.5,146,False,open_closed__closed_system; pragmatic_normative__normative; mit__diversity; mit__respect,,,
genuine,0.6266,0.5,321,False,,,,
trusted,0.6261,0.5,138,False,,,,
dishonest,0.6249,0.5,106,False,,,,
honest,0.6244,1.0,728,True,,,,
credibility,0.6224,0.5,51,False,,,,
truth,0.6171,0.5,173,False,,,,
respect,0.6159,0.5,1510,False,pragmatic_normative__normative; mit__respect,,,
quality,0.6145,0.5,2668,False,pragmatic_normative__normative; mit__performance; mit__respect,,,
respectful and,0.6121,0.5,74,False,open_closed__closed_system; pragmatic_normative__normative; mit__diversity; mit__respect,,,
secure,0.5969,0.5,324,False,open_closed__closed_system; mit__respect,,,
high integrity,0.596,0.5,72,False,pragmatic_normative__normative; mit__performance,,,
unethical,0.594,0.5,195,False,,,,
sincere,0.5902,0.5,58,False,mit__respect,,,
loyalty,0.5851,0.5,445,False,mit__respect,,,
empathy,0.5769,0.5,128,False,pragmatic_normative__normative; mit__respect,,,
qualities,0.5751,0.5,54,False,pragmatic_normative__normative; mit__respect,,,
attitude,0.5719,0.5,724,False,tight_loose__loose_control; pragmatic_normative__normative; mit__respect,,,
the quality,0.5686,0.5,264,False,pragmatic_normative__normative; mit__respect,,,
trust the,0.5677,0.5,56,False,,,,
emotionally,0.5655,0.5,63,False,mit__respect,,,
the truth,0.5632,0.5,113,False,,,,
fidelity,0.5613,0.5,4161,False,,,,
respects,0.5591,0.5,91,False,mit__respect,,,
attitude and,0.5555,0.5,62,False,tight_loose__loose_control; pragmatic_normative__normative; mit__respect,,,
fairness,0.5529,0.5,85,False,mit__respect,,,
belief,0.5526,0.5,54,False,pragmatic_normative__normative,,,
commitment,0.5509,0.5,545,False,pragmatic_normative__normative,,,
quality and,0.5503,0.5,112,False,pragmatic_normative__normative; mit__performance,,,
transparency and,0.5498,0.25,107,False,mit__diversity,,,
fidelity the,0.5491,0.25,99,False,,,,
fidelity good,0.5478,0.25,51,False,,,,
honest review,0.5475,0.25,63,False,,,,
acceptance,0.5472,0.25,50,False,,,,
lying,0.5447,0.25,63,False,,,,
fidelity and,0.5444,0.25,59,False,,,,
privacy,0.5443,0.25,84,False,,,,
responsibility and,0.5442,0.25,175,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__respect,,,
security,0.5441,0.25,2512,False,,,,
valid,0.5438,0.25,50,False,,,,
polite,0.5433,0.25,105,False,mit__respect,,,
reliable,0.5411,0.25,199,False,,,,
respect for,0.5399,0.25,376,False,pragmatic_normative__normative; mit__respect,,,
responsibility,0.5391,0.25,1394,False,process_results__results_oriented; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__respect,,,
and integrity,0.5385,0.25,70,False,pragmatic_normative__normative,,,
perceived,0.5378,0.25,92,False,open_closed__open_system; pragmatic_normative__pragmatic,,,
fidelity very,0.537,0.25,50,False,,,,
lack trust,0.536,0.25,55,False,,,,
respect the,0.5358,0.25,74,False,mit__respect,,,
and trust,0.5344,0.25,76,False,,,,
accountability,0.5342,0.25,504,False,process_results__results_oriented; tight_loose__tight_control; pragmatic_normative__normative; mit__execution; mit__performance; mit__respect,,,
clean,0.5332,0.25,306,False,mit__respect,,,
ethic,0.5323,0.25,451,False,pragmatic_normative__normative; mit__respect,,,
respected,0.5321,0.25,677,False,open_closed__closed_system; mit__respect,,,
quality the,0.5318,0.25,93,False,mit__respect,,,
constructive,0.53,0.25,114,False,open_closed__open_system; open_closed__closed_system; pragmatic_normative__normative,,,
believes,0.5281,0.25,95,False,,,,
respectable,0.5276,0.25,105,False,open_closed__closed_system; mit__respect,,,
lie,0.527,0.25,273,False,,,,
with fidelity,0.5257,0.25,133,False,,,,
the fidelity,0.5252,0.25,75,False,,,,
emotional,0.5238,0.25,90,False,mit__respect,,,
