term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
high performance,0.7308,0.75,151,False,pragmatic_normative__pragmatic; mit__agility,,,
the performance,0.7273,0.75,99,False,process_results__results_oriented; pragmatic_normative__pragmatic; mit__agility; mit__execution,,,
performance,0.7254,1.0,4040,True,process_results__results_oriented; pragmatic_normative__pragmatic; mit__agility; mit__execution,,,
high performing,0.7209,0.75,140,False,,,,
excellence,0.7204,1.0,399,True,mit__execution,,,
performance and,0.7151,0.75,233,False,process_results__results_oriented; pragmatic_normative__pragmatic; mit__agility; mit__execution,,,
performance the,0.7055,0.75,92,False,process_results__results_oriented; pragmatic_normative__pragmatic; mit__agility; mit__execution,,,
performance based,0.684,0.5,137,False,pragmatic_normative__pragmatic,,,
merit,0.6782,0.5,781,False,open_closed__open_system; pragmatic_normative__normative,,,
based performance,0.6761,0.5,162,False,process_results__results_oriented; pragmatic_normative__pragmatic,,,
performance culture,0.676,1.0,65,True,,,,
individual performance,0.6678,0.5,55,False,process_results__results_oriented,,,
merit based,0.6671,0.5,155,False,pragmatic_normative__normative,,,
based merit,0.6539,0.5,108,False,pragmatic_normative__normative,,,
performance management,0.6528,0.5,87,False,process_results__results_oriented,,,
your performance,0.6424,0.5,251,False,process_results__results_oriented; mit__agility; mit__execution,,,
for excellence,0.6405,0.5,50,False,mit__execution,,,
high performers,0.6401,1.0,154,True,,,,
high standards,0.6376,1.0,123,True,tight_loose__tight_control,,,
performance but,0.6315,0.5,64,False,process_results__results_oriented; pragmatic_normative__pragmatic; mit__agility,,,
performance driven,0.6289,0.5,65,False,process_results__results_oriented; pragmatic_normative__pragmatic,,,
perform well,0.6195,0.5,122,False,process_results__results_oriented; mit__execution,,,
the talent,0.6051,0.5,106,False,process_results__results_oriented,,,
performance good,0.6014,0.5,81,False,,,,
talent,0.5974,0.5,2673,False,,,,
high end,0.5943,0.5,60,False,,,,
for performance,0.5933,0.5,203,False,,,,
culture excellence,0.5903,0.5,62,False,,,,
accountability,0.5899,1.0,504,True,process_results__results_oriented; tight_loose__tight_control; pragmatic_normative__normative; mit__execution; mit__integrity; mit__respect,,,
standards and,0.5873,0.5,94,False,process_results__process_oriented; tight_loose__tight_control; pragmatic_normative__normative,,,
evaluations,0.5873,0.5,64,False,process_results__process_oriented; process_results__results_oriented; mit__execution,,,
highly competitive,0.5843,0.5,201,False,,,,
competence,0.5842,0.5,107,False,professional_parochial__professional; open_closed__open_system; tight_loose__loose_control; pragmatic_normative__normative,,,
superior,0.583,0.5,157,False,,,,
company performance,0.5828,0.5,87,False,professional_parochial__parochial,,,
than performance,0.582,0.5,50,False,,,,
achieving,0.5817,0.5,125,False,process_results__results_oriented; open_closed__open_system; pragmatic_normative__normative; mit__execution; mit__innovation,,,
meritocracy,0.5806,1.0,648,True,,,,
and performance,0.5788,0.5,158,False,process_results__results_oriented,,,
evaluation,0.5786,0.5,157,False,process_results__process_oriented; process_results__results_oriented; pragmatic_normative__normative; mit__execution,,,
top talent,0.578,0.5,158,False,,,,
improvement,0.5771,0.5,1053,False,process_results__results_oriented; mit__execution; mit__innovation,,,
high performer,0.577,0.5,53,False,,,,
not performance,0.5761,0.5,81,False,,,,
performance great,0.576,0.5,65,False,,,,
accomplishments,0.5753,0.5,86,False,process_results__results_oriented,,,
high level,0.5749,0.5,505,False,,,,
strong reputation,0.5742,0.5,87,False,mit__integrity,,,
standards,0.5741,0.5,1359,False,tight_loose__tight_control; pragmatic_normative__normative,,,
leadership,0.5738,0.5,6819,False,process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__collaboration; mit__execution,,,
improvement and,0.5718,0.5,56,False,process_results__results_oriented; mit__execution; mit__innovation,,,
high integrity,0.5712,0.5,72,False,pragmatic_normative__normative; mit__integrity,,,
achievement,0.5685,0.5,54,False,process_results__results_oriented; mit__execution; mit__innovation,,,
accountability for,0.5664,0.5,66,False,process_results__results_oriented; pragmatic_normative__normative; mit__execution; mit__integrity; mit__respect,,,
talents,0.5659,0.5,253,False,,,,
talent and,0.5656,0.5,272,False,,,,
talented employees,0.5645,0.5,92,False,job_employee__employee_oriented; professional_parochial__professional,,,
prestigious,0.5644,0.5,455,False,,,,
strong leadership,0.5618,0.5,197,False,tight_loose__loose_control,,,
competition and,0.5601,0.5,78,False,process_results__results_oriented; open_closed__open_system; open_closed__closed_system; pragmatic_normative__pragmatic; mit__innovation,,,
competitive with,0.5567,0.5,190,False,open_closed__open_system; open_closed__closed_system; pragmatic_normative__pragmatic; mit__collaboration,,,
quality,0.5561,0.5,2668,False,pragmatic_normative__normative; mit__integrity; mit__respect,,,
improving,0.5561,0.5,454,False,process_results__results_oriented; open_closed__open_system; mit__innovation,,,
awards,0.5555,0.5,137,False,,,,
leadership and,0.5553,0.5,510,False,process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__collaboration; mit__execution,,,
