term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
process,0.6832,0.5,5347,False,mit__execution,,,
process and,0.6793,0.5,332,False,mit__execution,,,
procedures and,0.6751,0.5,59,False,mit__execution,,,
procedures,0.6737,1.0,527,True,mit__execution,,,
the process,0.6717,0.5,483,False,process_results__results_oriented; mit__execution,,,
process for,0.6663,0.5,147,False,process_results__results_oriented; mit__execution,,,
processing,0.6579,0.5,379,False,process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control; mit__execution,,,
the processes,0.6481,0.5,132,False,mit__execution,,,
process the,0.6454,0.5,82,False,process_results__results_oriented; mit__execution,,,
approvals,0.627,0.5,184,False,tight_loose__tight_control; mit__execution,,,
processes and,0.6267,0.5,363,False,,,,
processes,0.6262,0.5,2830,False,,,,
compliance and,0.6229,0.5,87,False,tight_loose__tight_control; pragmatic_normative__normative,,,
decisions and,0.6227,0.5,134,False,process_results__results_oriented; open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__execution; mit__integrity,,,
processes for,0.6212,0.5,51,False,mit__execution,,,
process you,0.6204,0.5,61,False,process_results__results_oriented; mit__execution,,,
and process,0.6114,0.5,159,False,mit__execution,,,
automated,0.6075,0.5,122,False,,,,
procedure,0.6063,0.5,114,False,mit__execution,,,
planning and,0.606,0.5,120,False,process_results__results_oriented; tight_loose__tight_control; mit__execution,,,
paperwork,0.6042,0.5,178,False,,,,
bureaucracy and,0.604,0.5,326,False,tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__execution,,,
compliance,0.6017,1.0,1102,True,tight_loose__tight_control; pragmatic_normative__normative; mit__integrity,,,
software and,0.6014,0.5,96,False,,,,
approval,0.6013,0.5,274,False,tight_loose__tight_control; mit__execution,,,
processes that,0.6001,0.5,87,False,,,,
formal,0.5946,0.5,447,False,tight_loose__tight_control,,,
decisions,0.5929,0.5,1797,False,process_results__results_oriented; open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__integrity,,,
design,0.5917,0.5,306,False,open_closed__open_system; open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__diversity; mit__innovation,,,
rules and,0.5909,0.5,101,False,open_closed__closed_system; tight_loose__tight_control,,,
actions,0.5907,0.5,285,False,process_results__results_oriented; tight_loose__tight_control; pragmatic_normative__normative; mit__execution,,,
bureaucracy,0.5899,0.5,2306,False,tight_loose__tight_control; tight_loose__loose_control; mit__execution,,,
guidance and,0.5896,0.5,71,False,tight_loose__tight_control,,,
and procedures,0.5894,0.5,166,False,,,,
the operations,0.5866,0.5,132,False,process_results__results_oriented; tight_loose__tight_control; mit__execution,,,
manual processes,0.5852,0.5,55,False,,,,
practices and,0.585,0.5,69,False,tight_loose__tight_control; pragmatic_normative__normative,,,
decision making,0.5846,0.5,1095,False,process_results__results_oriented; pragmatic_normative__pragmatic; pragmatic_normative__normative,,,
process was,0.5845,0.5,133,False,,,,
methodology,0.5836,0.5,108,False,,,,
ensuring,0.5833,0.5,97,False,tight_loose__tight_control; pragmatic_normative__normative; mit__execution; mit__respect,,,
programs and,0.5832,0.5,154,False,,,,
software,0.582,0.5,2486,False,,,,
some processes,0.5813,0.5,80,False,,,,
bureaucratic processes,0.5799,0.5,50,False,,,,
the rules,0.5792,0.5,63,False,open_closed__closed_system; tight_loose__tight_control; mit__integrity,,,
execution,0.5754,0.5,249,False,process_results__results_oriented; mit__execution,,,
making decisions,0.5737,0.5,69,False,process_results__results_oriented; pragmatic_normative__normative; mit__execution,,,
approach and,0.5736,0.5,52,False,process_results__results_oriented; pragmatic_normative__normative; mit__innovation,,,
practices,0.573,0.5,793,False,tight_loose__tight_control; pragmatic_normative__normative,,,
the program,0.5721,0.5,249,False,,,,
process driven,0.5717,0.5,100,False,pragmatic_normative__pragmatic,,,
and processes,0.5714,0.5,260,False,,,,
the decisions,0.5707,0.5,59,False,process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__integrity,,,
advisory,0.5705,0.5,165,False,tight_loose__tight_control,,,
the software,0.5704,0.5,106,False,,,,
management and,0.5696,0.5,2249,False,process_results__results_oriented; professional_parochial__professional; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__execution; mit__performance,,,
regulations,0.5665,0.5,269,False,tight_loose__tight_control,,,
program and,0.5665,0.5,199,False,,,,
implemented,0.5663,0.5,229,False,tight_loose__tight_control; pragmatic_normative__normative,,,
programs,0.5663,0.5,1269,False,,,,
progress,0.5645,0.5,1600,False,process_results__results_oriented; mit__agility; mit__execution; mit__innovation,,,
methodologies,0.5641,0.5,69,False,,,,
methods,0.5639,0.5,111,False,,,,
the form,0.563,0.5,56,False,,,,
decision makers,0.5629,0.5,75,False,process_results__results_oriented; pragmatic_normative__normative,,,
operational,0.5626,0.5,413,False,process_results__results_oriented; tight_loose__tight_control; mit__execution,,,
operations and,0.5625,0.5,103,False,tight_loose__tight_control; mit__execution,,,
planning,0.5623,0.5,1013,False,process_results__results_oriented,,,
softwares,0.5618,0.5,62,False,,,,
operations,0.5613,0.5,2883,False,tight_loose__tight_control; mit__execution,,,
guidance,0.5598,0.5,717,False,tight_loose__tight_control,,,
bureaucratic and,0.559,0.5,278,False,tight_loose__tight_control; tight_loose__loose_control,,,
the technology,0.559,0.5,484,False,pragmatic_normative__pragmatic; mit__innovation,,,
workflow,0.5587,0.5,151,False,,,,
behaviours,0.5581,0.5,50,False,tight_loose__tight_control; pragmatic_normative__normative,,,
program,0.5577,0.5,3749,False,,,,
approaches,0.5576,0.5,75,False,process_results__results_oriented; open_closed__open_system; mit__innovation,,,
policies,0.5575,0.5,2243,False,tight_loose__tight_control,,,
development,0.5573,0.5,6486,False,process_results__results_oriented; tight_loose__loose_control; mit__innovation,,,
systems and,0.5572,0.5,461,False,tight_loose__tight_control,,,
decisions made,0.5568,0.5,99,False,process_results__results_oriented; pragmatic_normative__normative,,,
technology,0.5566,0.5,8325,False,tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__innovation,,,
systems,0.5552,0.5,3208,False,tight_loose__tight_control,,,
guidelines,0.555,0.5,145,False,tight_loose__tight_control,,,
introduction,0.5548,0.5,158,False,mit__innovation,,,
structured,0.5545,0.5,1119,False,tight_loose__tight_control,,,
policies and,0.5543,0.5,263,False,tight_loose__tight_control,,,
follows,0.5542,0.5,97,False,tight_loose__tight_control; mit__execution,,,
organization and,0.5541,0.5,224,False,tight_loose__tight_control; tight_loose__loose_control; mit__collaboration,,,
assurance,0.5539,0.5,62,False,,,,
structured and,0.5537,0.5,141,False,tight_loose__tight_control,,,
approach,0.5537,0.5,973,False,open_closed__closed_system; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__innovation,,,
tasks and,0.5536,0.5,158,False,process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control; mit__execution,,,
rules,0.5531,0.5,614,False,open_closed__closed_system; tight_loose__tight_control,,,
manual work,0.5531,0.5,87,False,,,,
documentation,0.5531,1.0,231,True,,,,
implementing,0.5519,0.5,120,False,,,,
the tasks,0.5518,0.5,93,False,process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control; mit__execution,,,
work through,0.5508,0.5,67,False,job_employee__job_oriented; mit__collaboration; mit__execution,,,
making process,0.5508,0.5,116,False,,,,
action,0.5507,0.5,366,False,process_results__results_oriented; tight_loose__tight_control; mit__execution,,,
progress and,0.5506,0.5,121,False,process_results__results_oriented; mit__execution; mit__innovation,,,
communicated,0.5501,0.5,129,False,tight_loose__tight_control; mit__collaboration; mit__execution; mit__integrity,,,
review and,0.5497,0.25,85,False,,,,
criteria,0.5492,0.25,160,False,pragmatic_normative__normative,,,
coordination,0.5489,0.25,113,False,tight_loose__tight_control; tight_loose__loose_control; mit__collaboration,,,
form,0.5487,0.25,329,False,,,,
integrity and,0.5482,0.25,131,False,pragmatic_normative__normative; mit__integrity; mit__respect,,,
tasks,0.548,0.25,1982,False,process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control; mit__execution,,,
processes are,0.5479,0.25,292,False,,,,
technological,0.5458,0.25,154,False,professional_parochial__professional; pragmatic_normative__pragmatic; mit__innovation,,,
how work,0.5449,0.25,81,False,process_results__results_oriented; open_closed__closed_system,,,
process oriented,0.544,0.25,135,False,,,,
working with,0.5437,0.25,1731,False,job_employee__job_oriented; open_closed__closed_system; mit__collaboration; mit__execution,,,
tools and,0.5435,0.25,242,False,,,,
code and,0.5434,0.25,59,False,,,,
production,0.5433,0.25,456,False,process_results__results_oriented; pragmatic_normative__pragmatic; mit__execution; mit__innovation; mit__performance,,,
knowledge and,0.5432,0.25,395,False,open_closed__open_system; tight_loose__tight_control; pragmatic_normative__normative; mit__innovation,,,
evaluations,0.5429,0.25,64,False,process_results__results_oriented; mit__execution; mit__performance,,,
organized and,0.5428,0.25,93,False,tight_loose__tight_control,,,
overview,0.5426,0.25,181,False,,,,
bureaucratic,0.5423,1.0,2006,True,professional_parochial__professional; tight_loose__tight_control; tight_loose__loose_control,,,
interactive,0.5422,0.25,71,False,,,,
oversight,0.5422,0.25,203,False,tight_loose__tight_control,,,
the bureaucracy,0.5422,0.25,88,False,tight_loose__tight_control; tight_loose__loose_control,,,
guide,0.5418,0.25,123,False,,,,
with management,0.5418,0.25,412,False,process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__execution,,,
service and,0.5415,0.25,204,False,pragmatic_normative__normative; mit__customer_orientation; mit__execution,,,
paper,0.5414,0.25,259,False,,,,
prepared work,0.5414,0.25,117,False,job_employee__job_oriented; mit__execution,,,
process improvement,0.5413,0.25,51,False,,,,
long process,0.5412,0.25,50,False,,,,
manual,0.539,0.25,379,False,,,,
integrity,0.5389,0.25,558,False,pragmatic_normative__normative; mit__integrity; mit__respect,,,
flow and,0.5384,0.25,68,False,,,,
learning and,0.5383,0.25,919,False,process_results__results_oriented; open_closed__open_system; mit__innovation,,,
meetings and,0.5381,0.25,217,False,mit__collaboration,,,
much process,0.5372,0.25,50,False,,,,
commission and,0.5371,0.25,82,False,,,,
development and,0.5371,0.25,615,False,mit__innovation,,,
operate,0.5366,0.25,188,False,process_results__results_oriented; job_employee__job_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__execution,,,
the systems,0.5359,0.25,177,False,tight_loose__tight_control,,,
comprehensive,0.5358,0.25,295,False,pragmatic_normative__pragmatic,,,
handling,0.5358,0.25,201,False,tight_loose__tight_control; pragmatic_normative__normative; mit__execution; mit__respect,,,
process good,0.5354,0.25,125,False,mit__execution,,,
the task,0.5336,0.25,51,False,process_results__results_oriented; job_employee__job_oriented; mit__execution; mit__innovation,,,
requirement,0.5334,0.25,226,False,,,,
expertise and,0.5333,0.25,61,False,professional_parochial__professional; open_closed__open_system; mit__innovation,,,
enforced,0.5331,0.25,56,False,open_closed__closed_system; tight_loose__tight_control,,,
teamwork and,0.532,0.25,140,False,process_results__results_oriented; mit__collaboration,,,
