dictionary,dimension,pole,term,normalized_term,ngram_length,weight,match_type,corpus_match_count,negated_match_count,document_frequency,document_frequency_pct,company_frequency,company_frequency_pct,sector_frequency,sectors_hit,top_cooccurring_dimensions,pmi_own_dimension,pmi_best_other_dimension,best_other_dimension,distinctiveness_pmi_margin,example_snippets
mined,b01,positive,long term,long term,2,1.65,"word-boundary regex, hyphen/space flexible, case-insensitive",1714,436,1995,0.9948,47,90.38,2,Asset Management/Other; Financials,b07:925; b02:778; b06:688,4.189,1.369,b11,2.82,nd care. nothing major tbh. they expect you to stay for the long term so might not be ideal for people who expect to change their | loyee. outstanding culture. the perfect place to build your long term career.. salary growth is slow so are promotions but can be | ood industry to start your career with but not suitable for long term. it is actually insightful to work in the mutual fund indus
mined,b01,positive,long term vision,long term vision,3,1.433,"word-boundary regex, hyphen/space flexible, case-insensitive",16,18,34,0.017,18,34.62,2,Asset Management/Other; Financials,b07:20; b04:13; b06:13,4.189,1.733,b10,2.455,"too many changes with no clarity on long term vision. 1. good culture (at least in some teams) 2. focus on work- | , increasing problem as company grows - lack of clarity on long-term vision and strategy, resource allocation sometimes a head-scratche | just okay. long term vision with tenured executive leadership team keeps the company va"
mined,b01,positive,long term strategy,long term strategy,3,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",22,14,36,0.018,17,32.69,2,Asset Management/Other; Financials,b07:36; b06:12; b08:12,4.189,2.028,b12,2.16,"rought in are then redundant within a year due to a lack of long term strategy and constantly moving goalposts.  | good culture with long-term strategy. friendly working atmosphere, good life/work balance and be | eorgs and a few u turns that makes it hard to know what the long term strategy of global tech is.. "
mined,b01,positive,invests for the future,invests for the future,4,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",0,0,0,0.0,0,0.0,0,,,,,,,
mined,b01,positive,patient capital,patient capital,2,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",0,0,0,0.0,0,0.0,0,,,,,,,
mined,b01,positive,sustainable growth,sustainable growth,2,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",3,2,5,0.0025,4,7.69,1,Financials,b02:5; b07:4; b04:4,4.189,2.748,b04,1.44,"man looking to start his career, this is not a place to see sustainable growth in a challenging way..  | ll do their best to guide you on your journey commited to a sustainable growth. in-house systems, while being improved are not great a lar | t's also in cons - ceo is a great person for this position, sustainable growth from last year is somehow related to the trends and directi"
mined,b01,positive,long term thinking,long term thinking,3,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",11,4,15,0.0075,11,21.15,2,Asset Management/Other; Financials,b07:9; b02:8; b08:6,4.189,1.914,b10,2.275,"good place to work long term. long-term thinking. meritocracy. agile strategy. approachable management.. too | tagnate in their job roles and cannot progress.  not enough long-term thinking by management..  | thing totally blows up and costs the bank money. proactive, long-term thinking is notably absent. - local management-level communication "
mined,b01,positive,thinks long term,thinks long term,3,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",0,0,0,0.0,0,0.0,0,,,,,,,
mined,b01,positive,future focused,future focused,2,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",4,0,4,0.002,4,7.69,2,Asset Management/Other; Financials,b07:2; b06:2; b10:2,4.189,2.236,b10,1.953,"managing director. state street is a dynamic and future focused financial services firm with a global footprint that offers | great environment, people who cared and were collaborative, future focused, respect for employees. there has been a gross destruction  | re focus on work life balance. long term prospects required future focused. "
mined,b01,positive,long term view,long term view,3,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",26,4,29,0.0145,13,25.0,2,Asset Management/Other; Financials,b04:12; b07:10; b06:9,4.189,1.797,b04,2.391,"dustry competitors. partners group knows this and pitches a long-term view and better work-life balance as the reason for underpayment | everyone at every level. i appreciate the forward-thinking, long-term-view approach taken by upper management. i appreciate the work/l | long term view and prudent culture. great work-life balance amazing benef"
mined,b01,positive,builds for the long run,builds for the long run,5,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",0,0,0,0.0,0,0.0,0,,,,,,,
mined,b01,positive,long term focus,long term focus,3,0.815,"word-boundary regex, hyphen/space flexible, case-insensitive",38,3,37,0.0184,12,23.08,2,Asset Management/Other; Financials,b06:37; b07:15; b08:9,4.189,2.708,b06,1.48,"d work life balance but slow paced. good worklife balance / long-term focus. slow paced / siloed working / horrible technology.  | solid company, long-term focus. - long-term focus, not changing strategy constantly - nic | good company. smart people, good culture, long term focus. become very big and can feel too big. "
mined,b01,positive,long-term focus,long term focus,3,0.807,"word-boundary regex, hyphen/space flexible, case-insensitive",38,3,37,0.0184,12,23.08,2,Asset Management/Other; Financials,b06:37; b07:15; b08:9,4.189,2.708,b06,1.48,"d work life balance but slow paced. good worklife balance / long-term focus. slow paced / siloed working / horrible technology.  | solid company, long-term focus. - long-term focus, not changing strategy constantly - nic | good company. smart people, good culture, long term focus. become very big and can feel too big. "
mined,b01,positive,long-term,long term,2,0.798,"word-boundary regex, hyphen/space flexible, case-insensitive",1714,436,1995,0.9948,47,90.38,2,Asset Management/Other; Financials,b07:925; b02:778; b06:688,4.189,1.369,b11,2.82,nd care. nothing major tbh. they expect you to stay for the long term so might not be ideal for people who expect to change their | loyee. outstanding culture. the perfect place to build your long term career.. salary growth is slow so are promotions but can be | ood industry to start your career with but not suitable for long term. it is actually insightful to work in the mutual fund indus
mined,b01,positive,the long-term,the long term,3,0.795,"word-boundary regex, hyphen/space flexible, case-insensitive",157,27,180,0.0898,30,57.69,2,Asset Management/Other; Financials,b07:84; b02:79; b08:74,4.189,1.366,b06,2.822,"on and care. nothing major tbh. they expect you to stay for the long term so might not be ideal for people who expect to change their | sting process and 200+ page investment committee proposals. the long-term view is a complete joke - carry vests over a rolling 5-year | erparts in banks or other pe shops.  culture: because of the long term compensation structure, incompetent leaders stay in partner"
mined,b01,positive,the long term,the long term,3,0.779,"word-boundary regex, hyphen/space flexible, case-insensitive",157,27,180,0.0898,30,57.69,2,Asset Management/Other; Financials,b07:84; b02:79; b08:74,4.189,1.366,b06,2.822,"on and care. nothing major tbh. they expect you to stay for the long term so might not be ideal for people who expect to change their | sting process and 200+ page investment committee proposals. the long-term view is a complete joke - carry vests over a rolling 5-year | erparts in banks or other pe shops.  culture: because of the long term compensation structure, incompetent leaders stay in partner"
