term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
autonomy,0.7549,1.0,698,True,pragmatic_normative__normative,,,
autonomy and,0.7512,0.75,81,False,pragmatic_normative__normative,,,
freedom,0.6574,1.0,823,True,mit__diversity,,,
empowerment,0.6529,1.0,144,True,pragmatic_normative__normative,,,
entrepreneurial,0.6414,1.0,358,True,mit__innovation,,,
self,0.6373,0.5,1493,False,mit__integrity,,,
empowered,0.6306,1.0,115,True,,,,
organizational,0.6267,0.5,498,False,process_results__process_oriented; job_employee__employee_oriented; professional_parochial__parochial; tight_loose__tight_control; mit__collaboration; mit__performance,,,
flexibility and,0.6206,0.5,440,False,pragmatic_normative__pragmatic; mit__agility,,,
independent,0.6196,1.0,548,True,,,,
the freedom,0.6189,0.5,67,False,,,,
flexibility the,0.6181,0.5,90,False,pragmatic_normative__pragmatic; mit__agility,,,
freedom and,0.6161,0.5,67,False,mit__diversity,,,
cooperative,0.6111,0.5,214,False,open_closed__closed_system; mit__collaboration,,,
authority,0.61,0.5,108,False,open_closed__closed_system; tight_loose__tight_control; pragmatic_normative__normative,,,
business,0.6062,0.5,10223,False,process_results__results_oriented; professional_parochial__parochial; open_closed__closed_system; pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__customer_orientation; mit__innovation,,,
flexible,0.6044,1.0,9167,True,pragmatic_normative__pragmatic; mit__agility,,,
independently,0.6015,0.5,128,False,mit__diversity,,,
flexible and,0.6008,0.5,411,False,pragmatic_normative__pragmatic; mit__agility,,,
capabilities,0.6,0.5,244,False,pragmatic_normative__pragmatic; pragmatic_normative__normative; mit__performance,,,
flexible working,0.5985,0.5,1636,False,job_employee__job_oriented; pragmatic_normative__pragmatic,,,
government,0.5983,0.5,166,False,tight_loose__tight_control,,,
ambition,0.598,0.5,201,False,process_results__results_oriented; mit__execution,,,
organisation,0.5978,0.5,1772,False,professional_parochial__parochial; tight_loose__tight_control; mit__collaboration,,,
managing,0.597,0.5,1023,False,tight_loose__tight_control,,,
controlled,0.5955,0.5,117,False,tight_loose__tight_control; pragmatic_normative__normative,,,
manage people,0.595,0.5,70,False,job_employee__employee_oriented; tight_loose__tight_control,,,
management and,0.5933,0.5,2249,False,process_results__process_oriented; process_results__results_oriented; professional_parochial__professional; tight_loose__tight_control; pragmatic_normative__normative; mit__execution; mit__performance,,,
