term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
tasks,0.7603,0.75,1982,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; mit__execution,,,
tasks and,0.7366,0.75,158,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; mit__execution,,,
task,0.7348,0.75,467,False,process_results__process_oriented; process_results__results_oriented; mit__execution,,,
employee focused,0.7314,0.75,72,False,job_employee__employee_oriented,,,
job work,0.7294,0.75,108,False,process_results__results_oriented; job_employee__employee_oriented; mit__execution,,,
productive,0.7233,0.75,303,False,process_results__results_oriented; pragmatic_normative__pragmatic; mit__execution; mit__innovation,,,
productivity,0.7227,1.0,400,True,process_results__results_oriented; job_employee__employee_oriented; pragmatic_normative__pragmatic,,,
the tasks,0.716,0.75,93,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; mit__execution,,,
doing work,0.7157,0.75,57,False,job_employee__employee_oriented; mit__execution,,,
make work,0.7152,0.75,101,False,job_employee__employee_oriented; mit__execution,,,
working work,0.7145,0.75,51,False,job_employee__employee_oriented,,,
work work,0.7065,0.75,648,False,,,,
the task,0.7034,0.75,51,False,process_results__process_oriented; process_results__results_oriented; mit__execution; mit__innovation,,,
getting work,0.7022,0.75,51,False,mit__execution,,,
work job,0.702,0.75,53,False,job_employee__employee_oriented,,,
work working,0.6997,0.5,66,False,,,,
work being,0.6979,0.5,108,False,job_employee__employee_oriented,,,
focus work,0.6952,0.5,88,False,,,,
tasks that,0.6929,0.5,83,False,process_results__process_oriented; process_results__results_oriented; mit__execution; mit__innovation,,,
working hard,0.6897,0.5,197,False,,,,
tasks are,0.688,0.5,91,False,,,,
about work,0.6877,0.5,179,False,job_employee__employee_oriented,,,
having work,0.6866,0.5,69,False,job_employee__employee_oriented,,,
office work,0.6863,0.5,244,False,job_employee__employee_oriented,,,
tasks good,0.6837,0.5,57,False,process_results__results_oriented; mit__execution,,,
hardworking,0.6787,0.5,460,False,process_results__results_oriented; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic,,,
into work,0.6786,0.5,73,False,mit__execution,,,
productivity and,0.6742,0.5,58,False,pragmatic_normative__pragmatic,,,
work during,0.6735,0.5,85,False,,,,
work get,0.6712,0.5,74,False,,,,
