term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
practical,0.6524,1.0,101,True,,,,
customer focused,0.6401,0.5,70,False,mit__customer_orientation,,,
efficiency and,0.6342,0.5,63,False,process_results__results_oriented; tight_loose__loose_control; mit__performance,,,
marketing,0.6195,0.5,851,False,process_results__results_oriented; open_closed__open_system; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__normative; mit__customer_orientation; mit__innovation,,,
efficiency,0.6156,1.0,414,True,mit__performance,,,
performance driven,0.6155,0.5,65,False,process_results__results_oriented; mit__performance,,,
efficient,0.6124,0.5,611,False,process_results__results_oriented; tight_loose__loose_control; mit__agility; mit__performance,,,
technologically,0.6102,0.5,96,False,mit__innovation,,,
flexibility and,0.6042,0.5,440,False,tight_loose__loose_control; mit__agility,,,
approachable,0.6004,0.5,724,False,pragmatic_normative__normative,,,
productive,0.6003,0.5,303,False,process_results__results_oriented; job_employee__job_oriented; mit__execution; mit__innovation,,,
flexible and,0.5995,0.5,411,False,tight_loose__loose_control; mit__agility,,,
performance and,0.5983,0.5,233,False,process_results__results_oriented; mit__agility; mit__execution; mit__performance,,,
technological,0.5906,0.5,154,False,process_results__process_oriented; professional_parochial__professional; mit__innovation,,,
based performance,0.5863,0.5,162,False,process_results__results_oriented; mit__performance,,,
approachable and,0.5858,0.5,149,False,process_results__process_oriented; pragmatic_normative__normative,,,
economic,0.5844,0.5,187,False,,,,
efficient and,0.5782,0.5,61,False,mit__agility,,,
for industry,0.5775,0.5,122,False,mit__customer_orientation,,,
flexible,0.5769,1.0,9167,True,tight_loose__loose_control; mit__agility,,,
business,0.574,0.5,10223,False,process_results__results_oriented; professional_parochial__parochial; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__normative; mit__customer_orientation; mit__innovation,,,
effectively,0.5738,0.5,247,False,process_results__results_oriented; mit__agility; mit__execution; mit__integrity,,,
some flexibility,0.5738,0.5,57,False,tight_loose__loose_control; mit__agility,,,
the marketing,0.5729,0.5,60,False,open_closed__closed_system; pragmatic_normative__normative; mit__customer_orientation; mit__innovation,,,
with industry,0.5723,0.5,177,False,,,,
technology,0.5721,0.5,8325,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__normative; mit__innovation,,,
focused and,0.5708,0.5,105,False,job_employee__job_oriented,,,
efficiently,0.5706,0.5,155,False,tight_loose__loose_control; mit__agility; mit__performance,,,
advanced,0.5702,0.5,372,False,process_results__process_oriented; tight_loose__tight_control; mit__agility; mit__innovation; mit__performance,,,
industry with,0.5688,0.5,60,False,professional_parochial__professional; professional_parochial__parochial; open_closed__closed_system; mit__customer_orientation; mit__innovation,,,
flexible working,0.5684,0.5,1636,False,job_employee__job_oriented; tight_loose__loose_control,,,
performance,0.5683,0.5,4040,False,process_results__results_oriented; mit__agility; mit__execution; mit__performance,,,
the flexibility,0.5674,0.5,147,False,tight_loose__loose_control; mit__agility,,,
strategic,0.5661,0.5,487,False,process_results__results_oriented; mit__innovation,,,
effective,0.566,0.5,352,False,mit__performance,,,
performance based,0.5649,0.5,137,False,mit__performance,,,
industry,0.5632,0.5,8885,False,professional_parochial__professional; professional_parochial__parochial; tight_loose__loose_control; mit__customer_orientation,,,
flexibility the,0.562,0.5,90,False,tight_loose__loose_control; mit__agility,,,
resourceful,0.5612,0.5,55,False,mit__performance,,,
flexible good,0.561,0.5,176,False,tight_loose__loose_control; mit__agility,,,
flexible with,0.5601,0.5,340,False,tight_loose__loose_control; mit__agility,,,
flexibility with,0.5598,0.5,199,False,tight_loose__loose_control; mit__agility,,,
product based,0.5596,0.5,78,False,,,,
profitability,0.5587,0.5,62,False,,,,
flexibility,0.5584,0.5,5225,False,tight_loose__loose_control; mit__agility,,,
industry for,0.5583,0.5,70,False,professional_parochial__professional,,,
limited flexibility,0.558,0.5,90,False,tight_loose__loose_control; mit__agility,,,
realistic,0.5572,1.0,104,True,,,,
very approachable,0.5572,0.5,129,False,,,,
