term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
ethical,0.6731,1.0,561,True,mit__integrity; mit__respect,,,
ethics,0.6707,0.5,778,False,tight_loose__loose_control; mit__integrity; mit__respect,,,
ethical and,0.6623,0.5,68,False,mit__integrity; mit__respect,,,
integrity and,0.6583,0.5,131,False,process_results__process_oriented; mit__integrity; mit__respect,,,
ethics and,0.6545,0.5,151,False,tight_loose__loose_control; mit__integrity; mit__respect,,,
integrity,0.6494,1.0,558,True,process_results__process_oriented; mit__integrity; mit__respect,,,
moral,0.6389,1.0,249,True,mit__integrity; mit__respect,,,
valued,0.6312,0.5,836,False,mit__integrity; mit__respect,,,
morals,0.6239,0.5,58,False,mit__integrity; mit__respect,,,
principles,0.6135,0.5,135,False,process_results__process_oriented; tight_loose__tight_control,,,
responsibility and,0.6081,0.5,175,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__execution; mit__integrity; mit__respect,,,
decisions and,0.604,0.5,134,False,process_results__process_oriented; process_results__results_oriented; open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__execution; mit__integrity,,,
good values,0.59,0.5,107,False,mit__respect,,,
value and,0.5894,0.5,99,False,,,,
values and,0.5886,0.5,255,False,,,,
values the,0.5878,0.5,65,False,,,,
value,0.5812,0.5,2379,False,,,,
respect and,0.5802,0.5,146,False,open_closed__closed_system; mit__diversity; mit__integrity; mit__respect,,,
value work,0.5753,0.5,63,False,,,,
valued and,0.5742,0.5,112,False,mit__respect,,,
accountability,0.5731,0.5,504,False,process_results__results_oriented; tight_loose__tight_control; mit__execution; mit__integrity; mit__performance; mit__respect,,,
responsibility,0.5716,0.5,1394,False,process_results__results_oriented; tight_loose__loose_control; mit__execution; mit__integrity; mit__respect,,,
making decisions,0.5715,0.5,69,False,process_results__process_oriented; process_results__results_oriented; mit__execution,,,
decisions,0.5711,0.5,1797,False,process_results__process_oriented; process_results__results_oriented; open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__integrity,,,
compliance and,0.5707,0.5,87,False,process_results__process_oriented; tight_loose__tight_control,,,
objectives,0.5696,0.5,206,False,process_results__results_oriented; mit__performance,,,
the decisions,0.5666,0.5,59,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__integrity,,,
compliance,0.5631,0.5,1102,False,process_results__process_oriented; tight_loose__tight_control; mit__integrity,,,
values are,0.5616,0.5,83,False,,,,
behaviour,0.56,0.5,171,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__integrity,,,
accountability for,0.5591,0.5,66,False,process_results__results_oriented; mit__execution; mit__integrity; mit__performance; mit__respect,,,
standards and,0.5589,0.5,94,False,process_results__process_oriented; tight_loose__tight_control; mit__performance,,,
are valued,0.5581,0.5,100,False,,,,
feel valued,0.5573,0.5,110,False,mit__respect,,,
values employees,0.5561,0.5,52,False,job_employee__employee_oriented,,,
high integrity,0.5559,0.5,72,False,mit__integrity; mit__performance,,,
behaviours,0.5522,0.5,50,False,process_results__process_oriented; tight_loose__tight_control,,,
value the,0.552,0.5,172,False,,,,
autonomy and,0.5506,0.5,81,False,tight_loose__loose_control,,,
ethic and,0.5469,0.25,90,False,mit__integrity,,,
consideration,0.5453,0.25,230,False,process_results__process_oriented; mit__integrity; mit__respect,,,
consideration for,0.5449,0.25,70,False,mit__respect,,,
qualities,0.5439,0.25,54,False,mit__integrity; mit__respect,,,
not valued,0.5421,0.25,156,False,,,,
value their,0.5408,0.25,110,False,,,,
the value,0.5401,0.25,112,False,,,,
values,0.5398,0.25,2027,False,,,,
decision making,0.5398,0.25,1095,False,process_results__process_oriented; process_results__results_oriented; pragmatic_normative__pragmatic,,,
ethic,0.5381,0.25,451,False,mit__integrity; mit__respect,,,
behavior,0.5377,0.25,374,False,tight_loose__tight_control; mit__integrity,,,
willingness,0.5366,0.25,159,False,open_closed__open_system; mit__integrity,,,
respect,0.536,0.25,1510,False,mit__integrity; mit__respect,,,
attitude and,0.5359,0.25,62,False,tight_loose__loose_control; mit__integrity; mit__respect,,,
intelligence,0.5344,0.25,152,False,mit__integrity,,,
concept,0.534,0.25,175,False,,,,
standards,0.5337,0.25,1359,False,tight_loose__tight_control; mit__performance,,,
justify,0.5331,0.25,133,False,mit__integrity; mit__respect,,,
objective,0.5325,0.25,107,False,process_results__results_oriented,,,
and ethics,0.5321,0.25,77,False,mit__integrity,,,
autonomy,0.5302,0.25,698,False,tight_loose__loose_control,,,
strong values,0.5301,0.25,61,False,,,,
trust and,0.5299,0.25,60,False,tight_loose__loose_control; mit__integrity; mit__respect,,,
based upon,0.5299,0.25,50,False,,,,
responsibilities and,0.5294,0.25,105,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__execution; mit__performance; mit__respect,,,
respectful and,0.529,0.25,74,False,open_closed__closed_system; mit__diversity; mit__integrity; mit__respect,,,
meaningful,0.5282,0.25,519,False,mit__integrity; mit__respect,,,
business decisions,0.5276,0.25,54,False,process_results__results_oriented; pragmatic_normative__pragmatic,,,
invaluable,0.527,0.25,64,False,pragmatic_normative__pragmatic,,,
knowledge and,0.527,0.25,395,False,process_results__process_oriented; open_closed__open_system; tight_loose__tight_control; mit__innovation,,,
based merit,0.5262,0.25,108,False,mit__performance,,,
make decisions,0.5261,0.25,223,False,,,,
values work,0.5255,0.25,51,False,,,,
decision makers,0.5252,0.25,75,False,process_results__process_oriented; process_results__results_oriented,,,
understanding,0.5245,0.25,1119,False,open_closed__open_system; open_closed__closed_system; pragmatic_normative__pragmatic; mit__integrity; mit__respect,,,
based work,0.5244,0.25,55,False,process_results__results_oriented; job_employee__job_oriented; job_employee__employee_oriented; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__performance,,,
quality,0.5239,0.25,2668,False,mit__integrity; mit__performance; mit__respect,,,
responsibility for,0.5236,0.25,60,False,mit__execution; mit__respect,,,
respect for,0.5234,0.25,376,False,mit__integrity; mit__respect,,,
attitudes,0.5233,0.25,117,False,mit__integrity; mit__respect,,,
regard,0.5217,0.25,212,False,mit__respect,,,
business,0.5213,0.25,10223,False,process_results__results_oriented; professional_parochial__parochial; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__customer_orientation; mit__innovation,,,
decisions that,0.5208,0.25,69,False,process_results__process_oriented; process_results__results_oriented,,,
competence,0.5198,0.25,107,False,professional_parochial__professional; open_closed__open_system; tight_loose__loose_control; mit__performance,,,
knowledge,0.5183,0.25,3109,False,open_closed__open_system; open_closed__closed_system; mit__innovation,,,
design,0.5176,0.25,306,False,process_results__process_oriented; open_closed__open_system; open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__diversity; mit__innovation,,,
core values,0.5167,0.25,198,False,,,,
morale and,0.5145,0.25,107,False,job_employee__employee_oriented; mit__respect,,,
respectful,0.5145,0.25,495,False,open_closed__closed_system; mit__diversity; mit__integrity; mit__respect,,,
constructive,0.5138,0.25,114,False,open_closed__open_system; open_closed__closed_system; mit__integrity,,,
merit based,0.5137,0.25,155,False,mit__performance,,,
practices and,0.5134,0.25,69,False,process_results__process_oriented; tight_loose__tight_control,,,
ensuring,0.5123,0.25,97,False,process_results__process_oriented; tight_loose__tight_control; mit__execution; mit__respect,,,
and value,0.5121,0.25,105,False,,,,
values its,0.5118,0.25,52,False,,,,
attitude,0.5116,0.25,724,False,tight_loose__loose_control; mit__integrity; mit__respect,,,
logic,0.5113,0.25,58,False,tight_loose__tight_control; mit__integrity,,,
valuation,0.5104,0.25,54,False,,,,
don value,0.5099,0.25,54,False,,,,
and values,0.5099,0.25,245,False,,,,
standards for,0.5089,0.25,64,False,tight_loose__tight_control; mit__performance,,,
marketing,0.5089,0.25,851,False,process_results__results_oriented; open_closed__open_system; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__customer_orientation; mit__innovation,,,
diligence,0.5088,0.25,67,False,,,,
responsible,0.5084,0.25,300,False,tight_loose__loose_control; mit__execution; mit__integrity; mit__respect,,,
service based,0.507,0.25,103,False,mit__customer_orientation,,,
great values,0.5063,0.25,96,False,,,,
the marketing,0.5063,0.25,60,False,open_closed__closed_system; pragmatic_normative__pragmatic; mit__customer_orientation; mit__innovation,,,
responsibilities,0.5062,0.25,1100,False,process_results__results_oriented; mit__execution; mit__respect,,,
bureaucracy and,0.5059,0.25,326,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__execution,,,
balanced,0.5059,0.25,412,False,mit__agility; mit__respect,,,
work ethics,0.5057,0.25,277,False,mit__integrity,,,
belief,0.5052,0.25,54,False,mit__integrity,,,
compassion,0.5046,0.25,56,False,mit__integrity; mit__respect,,,
making good,0.5043,0.25,59,False,process_results__results_oriented; open_closed__open_system; mit__innovation; mit__integrity; mit__performance,,,
authority,0.5039,0.25,108,False,open_closed__closed_system; tight_loose__tight_control; tight_loose__loose_control,,,
decisions made,0.5037,0.25,99,False,process_results__process_oriented; process_results__results_oriented,,,
empathy,0.5035,0.25,128,False,mit__integrity; mit__respect,,,
practices,0.5033,0.25,793,False,process_results__process_oriented; tight_loose__tight_control,,,
philosophy,0.5027,0.25,178,False,,,,
value employees,0.5021,0.25,85,False,job_employee__employee_oriented,,,
satisfaction,0.502,0.25,483,False,process_results__results_oriented; mit__customer_orientation; mit__execution; mit__integrity; mit__performance; mit__respect,,,
entitlement,0.5018,0.25,54,False,,,,
the business,0.5016,0.25,2048,False,open_closed__closed_system; tight_loose__loose_control; mit__customer_orientation,,,
equal,0.501,0.25,334,False,mit__diversity,,,
behaviors,0.5006,0.25,52,False,tight_loose__tight_control,,,
merit,0.5006,0.25,781,False,open_closed__open_system; mit__performance,,,
value your,0.5004,0.25,77,False,,,,
the knowledge,0.4998,0.25,93,False,open_closed__closed_system; mit__innovation,,,
mission driven,0.4997,0.25,52,False,,,,
accountable,0.499,0.25,147,False,mit__execution; mit__integrity; mit__performance,,,
and integrity,0.4988,0.25,70,False,mit__integrity,,,
based off,0.4976,0.25,82,False,,,,
determined,0.4975,0.25,141,False,process_results__results_oriented; open_closed__closed_system; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__agility,,,
actions,0.4975,0.25,285,False,process_results__process_oriented; process_results__results_oriented; tight_loose__tight_control; mit__execution,,,
decisions are,0.4973,0.25,246,False,,,,
based,0.4972,0.25,4385,False,,,,
the morale,0.4965,0.25,67,False,job_employee__employee_oriented,,,
dealing with,0.4961,0.25,383,False,open_closed__closed_system; mit__execution; mit__integrity; mit__respect,,,
service and,0.4959,0.25,204,False,process_results__process_oriented; mit__customer_orientation; mit__execution,,,
rights,0.4958,0.25,62,False,mit__respect,,,
the decision,0.4953,0.25,118,False,process_results__results_oriented,,,
understanding the,0.4952,0.25,172,False,open_closed__closed_system,,,
